# PACE2_2009.DATA
#
# This is the same as pace2_2001.data except the format is much simpler to read :)
# Each line is:
#  Z   A    MassExcess (keV)
#
39     88     -84293.2
39     89     -87700.7
39     90     -86486.4
39     91     -86349.1
39     92     -84835.5
39     93     -84231.8
39     94     -82349.5
39     95     -81215.1
39     96     -78320.1
39     97     -76252.9
39     98     -72400
39     99     -70201.3
39     100     -66853
39     101     -64386.2
40     81     -58795.3
40     82     -64177.6
40     83     -66346.1
40     84     -71440.6
40     85     -73146.1
40     86     -77977.4
40     87     -79347.1
40     88     -83625.1
40     89     -84866.8
40     90     -88769.2
40     91     -87894.2
40     92     -88458
40     93     -87120.7
40     94     -87269
40     95     -85660.3
40     96     -85443
40     97     -82950.8
40     98     -81290.8
40     99     -77771.3
40     100     -76653
40     101     -73106.2
40     102     -71761.5
40     103     -67619.1
41     84     -79399.5
41     85     -66736.1
41     86     -69577.4
41     87     -74178.1
41     88     -76425.1
41     89     -80623.1
41     90     -82658.2
41     91     -86639.1
41     92     -86452
41     93     -87210.7
41     94     -86368.9
41     95     -86784.3
41     96     -85605.8
41     97     -85609
41     98     -83528.7
41     99     -82331.3
41     100     -79983
41     101     -78886.2
41     102     -76351.5
41     103     -75119.1
41     104     -71776.1
41     105     -69734.8
42     87     -67440.1
42     88     -72825.1
42     89     -75004.8
42     90     -80171.2
42     91     -82200.6
42     92     -86809
42     93     -86804.8
42     94     -88414
42     95     -87709.9
42     96     -88792.8
42     97     -87542.8
42     98     -88113.9
42     99     -85968.1
42     100     -86188.4
42     101     -83516.2
42     102     -83561.5
42     103     -80619.1
42     104     -80476.1
42     105     -76734.8
42     106     -76429
42     107     -72513.9
43     90     -70971.2
43     91     -75978.6
43     92     -78937.5
43     93     -83612
43     94     -84158
43     95     -86018.3
43     96     -85819.6
43     97     -87222.5
43     98     -86430.6
43     99     -87325.1
43     100     -86018.1
43     101     -86326.4
43     102     -84600.1
43     103     -84619.1
43     104     -82476.1
43     105     -82234.8
43     106     -79629
43     107     -78863.9
43     108     -76020.6
43     109     -74919.1
44     92     -74409
44     93     -77292
44     94     -82563.3
44     95     -83445.8
44     96     -86067.4
44     97     -86107.5
44     98     -88225.4
44     99     -87618.7
44     100     -89220.6
44     101     -87950.8
44     102     -89099.7
44     103     -87260.8
44     104     -88096.1
44     105     -85934.8
44     106     -86329
44     107     -83713.9
44     108     -83820.6
44     109     -80819.1
44     110     -80436.3
44     111     -76917.1
45     94     -72963.3
45     95     -78335.8
45     96     -79625.9
45     97     -82597.5
45     98     -83168
45     99     -85526.4
45     100     -85590.6
45     101     -87413.3
45     102     -86763.6
45     103     -88027.4
45     104     -86955.1
45     105     -87851.6
45     106     -86368.4
45     107     -86863.9
45     108     -85020.6
45     109     -85019.1
45     110     -82936.3
45     111     -82417.1
45     112     -79728
45     113     -78841.3
46     96     -76367.4
46     97     -77797.5
46     98     -81295.4
46     99     -82164.1
46     100     -85207.1
46     101     -85431.3
46     102     -87902.6
46     103     -87455.1
46     104     -89395.4
46     105     -88418.1
46     106     -89908.8
46     107     -88373.9
46     108     -89520.6
46     109     -87603.2
46     110     -88336.3
46     111     -86017.1
46     112     -86328
46     113     -83681.3
46     114     -83573
46     115     -80394.8
46     116     -79906.7
47     98     -72668
47     99     -76734.1
47     100     -78132.1
47     101     -81221.3
47     102     -82022.6
47     103     -84785.1
47     104     -85116.7
47     105     -87075.9
47     106     -86943.9
47     107     -88407.1
47     108     -87605.3
47     109     -88719.1
47     110     -87456.9
47     111     -88217.1
47     112     -86621.5
47     113     -87041.3
47     114     -85023
47     115     -84954.8
47     116     -82521.7
47     117     -82247.9
47     118     -79580.8
47     119     -78569.5
47     120     -75766.9
47     121     -74490.8
48     100     -74107.1
48     101     -75691.3
48     102     -79602.6
48     103     -80619.4
48     104     -83990.4
48     105     -84336.9
48     106     -87131.5
48     107     -86990.1
48     108     -89259.6
48     109     -88535.2
48     110     -90350.3
48     111     -89254.1
48     112     -90581
48     113     -89051.3
48     114     -90023
48     115     -88094.8
48     116     -88721.7
48     117     -86417.9
48     118     -86710.8
48     119     -83939.5
48     120     -83976.9
48     121     -80880.8
48     122     -80577.3
49     101     -69361.8
49     102     -70422.6
49     103     -74419.4
49     104     -75990.4
49     105     -79536.9
49     106     -80586.5
49     107     -83570.1
49     108     -84129.6
49     109     -86505.6
49     110     -86410.3
49     111     -88391.3
49     112     -87993.1
49     113     -89367.6
49     114     -88570.8
49     115     -89535.7
49     116     -88248.6
49     117     -88943
49     118     -87451.3
49     119     -87729.5
49     120     -85801.2
49     121     -85840.8
49     122     -83577.3
49     123     -83421.3
49     124     -80631.4
49     125     -80421.2
49     126     -77903.6
49     127     -77009.8
49     128     -73959.4
49     129     -73027.9
49     130     -69985.1
49     131     -68548.3
50     102     -64902.6
50     103     -67019.4
50     104     -71590.4
50     105     -73274.7
50     106     -77286.5
50     107     -78390.1
50     108     -82081.6
50     109     -82629.2
50     110     -85830.1
50     111     -85939.3
50     112     -88654.2
50     113     -88328.4
50     114     -90556.8
50     115     -90031.5
50     116     -91522.8
50     117     -90396.2
50     118     -91651.3
50     119     -90065.3
50     120     -91101.2
50     121     -89201.2
50     122     -89945.9
50     123     -87820.8
50     124     -88240
50     125     -85901.2
50     126     -86023.6
50     127     -83499.8
50     128     -83309.4
50     129     -80627.9
50     130     -80185.1
50     131     -77368.3
50     132     -76604.5
51     104     -59290.4
51     105     -64036.9
51     106     -66386.5
51     107     -70670.1
51     108     -72629.6
51     109     -76249.2
51     110     -77430.1
51     111     -80739.3
51     112     -81594.2
51     113     -84439.2
51     114     -84464.1
51     115     -87001.5
51     116     -86816.2
51     117     -88640.3
51     118     -87994.7
51     119     -89472
51     120     -88420.6
51     121     -89588.8
51     122     -88323.8
51     123     -89219.1
51     124     -87615.2
51     125     -88253.5
51     126     -86401.6
51     127     -86700.8
51     128     -84599.4
51     129     -84627.9
51     130     -82325.1
51     131     -82013.3
51     132     -79684.5
51     133     -78985.3
51     134     -74004.7
52     106     -58155
52     107     -60612.3
52     108     -65738.4
52     109     -67652.6
52     110     -72138.4
52     111     -73471.1
52     112     -77341.9
52     113     -78339.2
52     114     -81764.1
52     115     -82251.5
52     116     -85256.2
52     117     -85110.3
52     118     -87645.4
52     119     -87178
52     120     -89378.5
52     121     -88540.1
52     122     -90305.3
52     123     -89167
52     124     -90520.1
52     125     -89020.4
52     126     -90062.8
52     127     -88281.8
52     128     -88989.4
52     129     -87004.9
52     130     -87345.1
52     131     -85203.3
52     132     -85214.5
52     133     -82935.3
52     134     -82414.7
52     135     -77840.9
52     136     -74411.1
53     108     -52765.5
53     109     -57812.2
53     110     -60387.4
53     111     -64975.1
53     112     -67217.7
53     113     -71118.4
53     114     -72864.1
53     115     -76301.5
53     116     -77496.2
53     117     -80800.3
53     118     -81245.4
53     119     -83808
53     120     -83978.5
53     121     -86261.4
53     122     -86071.3
53     123     -87935.5
53     124     -87363.1
53     125     -88842.2
53     126     -87907
53     127     -88978.4
53     128     -87732.7
53     129     -88504
53     130     -86896.9
53     131     -87452.3
53     132     -85707.5
53     133     -85906.6
53     134     -83974.7
53     135     -83800.9
53     136     -79506.1
53     137     -76500.2
53     138     -72342.3
53     139     -68881.4
54     110     -51851.9
54     111     -54483.7
54     112     -59994.8
54     113     -62132.9
54     114     -66913.5
54     115     -68675.1
54     116     -72996.2
54     117     -74367.2
54     118     -78045.4
54     119     -78818
54     120     -82028.5
54     121     -82458.9
54     122     -85344.5
54     123     -85256.8
54     124     -87462.7
54     125     -87159.5
54     126     -89157.8
54     127     -88314.8
54     128     -89861
54     129     -88697.1
54     130     -89880.9
54     131     -88423.1
54     132     -89287.5
54     133     -87666.6
54     134     -88124.7
54     135     -86511.3
54     136     -86431.1
54     137     -82385.2
54     138     -80162.3
54     139     -75696.4
54     140     -73016.6
54     141     -68362.5
54     142     -65532.8
55     114     -54605.5
55     115     -59550.1
55     116     -61912.5
55     117     -66234.7
55     118     -68268.2
55     119     -72186.5
55     120     -73806.1
55     121     -77058.4
55     122     -77962.8
55     123     -81136.7
55     124     -81689.4
55     125     -84102.5
55     126     -84327.8
55     127     -86209.7
55     128     -85933.7
55     129     -87525.1
55     130     -86862.7
55     131     -88069.9
55     132     -87186.6
55     133     -88093.9
55     134     -86914.3
55     135     -87670
55     136     -86361.8
55     137     -86564.4
55     138     -82902.3
55     139     -80716.4
55     140     -77076.6
55     141     -74512.5
55     142     -70572.8
55     143     -67790
55     144     -63416
55     145     -60231
55     146     -55892
55     147     -52630.8
56     117     -56907.2
56     118     -61945.4
56     119     -63956.4
56     120     -68506.1
56     121     -70139.5
56     122     -74162.8
56     123     -75456.8
56     124     -78789.4
56     125     -79522.5
56     126     -82557.8
56     127     -82759.7
56     128     -85480.7
56     129     -85096.5
56     130     -87301.8
56     131     -86708.1
56     132     -88455.4
56     133     -87573.4
56     134     -88972.8
56     135     -87874.6
56     136     -88910.3
56     137     -87737.7
56     138     -88277.7
56     139     -84929.7
56     140     -83294.3
56     141     -79768.7
56     142     -77895
56     143     -74069.1
56     144     -71917.8
56     145     -68031.6
56     146     -65288.9
56     147     -61312
56     148     -59006.8
57     127     -77959.7
57     128     -78580.7
57     129     -81376.5
57     130     -81601.8
57     131     -83748.1
57     132     -83745.4
57     133     -85573.4
57     134     -85272.8
57     135     -86674.6
57     136     -86040.3
57     137     -87128.8
57     138     -86531.7
57     139     -87238.3
57     140     -84328.3
57     141     -82999.5
57     142     -80024.9
57     143     -78318.1
57     144     -74879.5
57     145     -72971.3
57     146     -69540.2
57     147     -67412
57     148     -63906.8
57     149     -62387.2
58     130     -79301.8
58     131     -79848.1
58     132     -82445.4
58     133     -82573.4
58     134     -84872.8
58     135     -84658.6
58     136     -86496.7
58     137     -85906.8
58     138     -87575.4
58     139     -86973.3
58     140     -88089.1
58     141     -85446.2
58     142     -84541.7
58     143     -81615.3
58     144     -80441.1
58     145     -77091.5
58     146     -75772.1
58     147     -72162
58     148     -70406.8
58     149     -67487.2
58     150     -65612.8
59     132     -75245.4
59     133     -77973.4
59     134     -78772.8
59     135     -81098.6
59     136     -81401.7
59     137     -83204.8
59     138     -83138.4
59     139     -84844.3
59     140     -84701.1
59     141     -86027.5
59     142     -83799.7
59     143     -83076.9
59     144     -80759.6
59     145     -79635.1
59     146     -76786.3
59     147     -75472
59     148     -72456.8
59     149     -70987.2
59     150     -68692.8
59     151     -67256
59     152     -64756.9
60     134     -76002.8
60     135     -76298.6
60     136     -79190.7
60     137     -79400.8
60     138     -82038.4
60     139     -82044.3
60     140     -84482
60     141     -84213.3
60     142     -85960.1
60     143     -84011.3
60     144     -83756.5
60     145     -81440.7
60     146     -80934.1
60     147     -78155
60     148     -77416.8
60     149     -74384.3
60     150     -73692.8
60     151     -70956
60     152     -70156.9
60     153     -67368.3
60     154     -65965
61     136     -71301.7
61     137     -74300.8
61     138     -75038.4
61     139     -77594.3
61     140     -78442
61     141     -80495.3
61     142     -81067.8
61     143     -82968.1
61     144     -81423.3
61     145     -81279.4
61     146     -79452.3
61     147     -79050.4
61     148     -76872.8
61     149     -76072.6
61     150     -73605.9
61     151     -73399
61     152     -71272.3
61     153     -70668.3
61     154     -68465
61     155     -67107.2
61     156     -64478.9
62     138     -71538.4
62     139     -71964.3
62     140     -75442
62     141     -75941
62     142     -78984.9
62     143     -79525.1
62     144     -81973
62     145     -80658.7
62     146     -80994.3
62     147     -79275.1
62     148     -79345.3
62     149     -77145.7
62     150     -77059.9
62     151     -74585.9
62     152     -74772.3
62     153     -72568.6
62     154     -72465
62     155     -70207.2
62     156     -69378.9
62     157     -66873.1
62     158     -65400.8
63     140     -67042
63     141     -69911
63     142     -71484.9
63     143     -74425.1
63     144     -75645.3
63     145     -77938.7
63     146     -77122.3
63     147     -77552.4
63     148     -76221.7
63     149     -76451.3
63     150     -74765.6
63     151     -74662.4
63     152     -72896.6
63     153     -73378.4
63     154     -71749.2
63     155     -71829.5
63     156     -70093.2
63     157     -69473.1
63     158     -67250.8
63     159     -66063.3
63     160     -63552.3
64     142     -67284.9
64     143     -68525.1
64     144     -71945.3
64     145     -72868.7
64     146     -76102.8
64     147     -75469.3
64     148     -76276.8
64     149     -75130.3
64     150     -75774.8
64     151     -74184.8
64     152     -74718.2
64     153     -72893.8
64     154     -73716.9
64     155     -72080.9
64     156     -72546.2
64     157     -70834.8
64     158     -70700.8
64     159     -68572.8
64     160     -67952.3
64     161     -65516.4
64     162     -64260.4
65     144     -62945.3
65     145     -66238.7
65     146     -67822.3
65     147     -70852.4
65     148     -70646.8
65     149     -71436.2
65     150     -71117.4
65     151     -71625.1
65     152     -70868.2
65     153     -71315
65     154     -70154.9
65     155     -71261.1
