# AUDI_WAPSTRA_2003.DATA
#
# 
# Each line is:
#  Z   A    MassExcess (keV)
#
25 51 -48241.3
25 52 -50705.4
25 53 -54687.9
25 54 -55555.4
25 55 -57710.6
25 56 -56909.7
25 57 -57486.8
25 58 -55906.8
25 59 -55479.6
25 60 -53177.8
25 61 -51555.7
25 62 -48038.8
25 63 -46351.2
25 64 -42616.7
25 65 -40672.7
25 66 -36254
25 67 -33403
25 68 -28597
25 69 -25299
26 45 13579
26 46 755
26 47 -6623
26 48 -18160
26 49 -24582
26 50 -34475.5
26 51 -40222.3
26 52 -48331.6
26 53 -50945.3
26 54 -56252.5
26 55 -57479.4
26 56 -60605.4
26 57 -60180.1
26 58 -62153.4
26 59 -60663.1
26 60 -61411.8
26 61 -58921.4
26 62 -58900.7
26 63 -55545.8
26 64 -54770.7
26 65 -50878
26 66 -49573.5
26 67 -45692.3
26 68 -43128.2
26 69 -38396
26 70 -35900
26 71 -31000
26 72 -28299
27 47 10703
27 48 1639
27 49 -9576
27 50 -17195
27 51 -27274
27 52 -33916
27 53 -42644.8
27 54 -48009.5
27 55 -54027.6
27 56 -56039.4
27 57 -59344.2
27 58 -59845.9
27 59 -62228.4
27 60 -61649
27 61 -62898.4
27 62 -61431.5
27 63 -61840.4
27 64 -59792.7
27 65 -59169.9
27 66 -56111.3
27 67 -55061
27 68 -51350.4
27 69 -50002.6
27 70 -45643.2
27 71 -43873.4
27 72 -39300
27 73 -37036
27 74 -32248
27 75 -29500
28 48 18397
28 49 8998
28 50 -3791
28 51 -11439
28 52 -22654
28 53 -29370
28 54 -39210.8
28 55 -45335.6
28 56 -53903.7
28 57 -56082
28 58 -60227.7
28 59 -61155.7
28 60 -64472.1
28 61 -64220.9
28 62 -66746.1
28 63 -65512.6
28 64 -67099.3
28 65 -65126.1
28 66 -66006.3
28 67 -63742.7
28 68 -63463.8
28 69 -59978.6
28 70 -59149.9
28 71 -55203.8
28 72 -53940.3
28 73 -49863
28 74 -48372
28 75 -43901
28 76 -41610
28 77 -36747
28 78 -34298
29 52 -2627
29 53 -13460
29 54 -21694
29 55 -31624
29 56 -38601
29 57 -47309.6
29 58 -51662.1
29 59 -56357.2
