//http://amdc.impcas.ac.cn/web/masseval.html
//Mass Excess in MeV
//Extracted from http://amdc.impcas.ac.cn/web/masseval.html in December 2018
//------
//Each line is:
//z a massexcess meas uncertainty
//------
// 0 -> from a systematic
// 1 -> measured
//
27 51 -27.3421 1 0.0484
28 51 -11.9000 0 0.5000
18 52 -1.2800 0 0.6000
19 52 -17.1376 1 0.0335
20 52 -34.2663 1 0.0007
21 52 -40.4433 1 0.0819
22 52 -49.4698 1 0.0071
23 52 -51.4438 1 0.0004
24 52 -55.4192 1 0.0003
25 52 -50.7073 1 0.0018
26 52 -48.3304 1 0.0051
27 52 -34.3610 1 0.0084
28 52 -22.3300 0 0.4000
29 52 -2.2800 0 0.6000
18 53 6.7910 0 0.6990
19 53 -12.2957 1 0.1118
20 53 -29.3877 1 0.0438
21 53 -38.9068 1 0.0941
22 53 -46.8311 1 0.1000
23 53 -51.8511 1 0.0031
24 53 -55.2870 1 0.0003
25 53 -54.6901 1 0.0004
26 53 -50.9475 1 0.0017
27 53 -42.6594 1 0.0017
28 53 -29.6308 1 0.0251
29 53 -13.2700 0 0.5000
19 54 -5.0020 0 0.5960
20 54 -25.1606 1 0.0484
21 54 -33.8909 1 0.2728
22 54 -45.6220 1 0.0825
23 54 -49.8932 1 0.0150
24 54 -56.9348 1 0.0004
25 54 -55.5576 1 0.0011
26 54 -56.2545 1 0.0004
27 54 -48.0100 1 0.0004
28 54 -39.2783 1 0.0047
29 54 -21.4100 0 0.4000
30 54 -6.2720 0 0.4000
19 55 0.7080 0 0.6990
20 55 -18.3500 0 0.3000
21 55 -30.1594 1 0.4543
22 55 -41.6681 1 0.1616
23 55 -49.1446 1 0.0951
24 55 -55.1097 1 0.0004
25 55 -57.7124 1 0.0003
26 55 -57.4813 1 0.0003
27 55 -54.0299 1 0.0004
28 55 -45.3358 1 0.0007
29 55 -31.6354 1 0.1556
30 55 -14.5700 0 0.4000
19 56 7.9270 0 0.8010
20 56 -13.8980 0 0.4000
21 56 -24.8523 1 0.5868
22 56 -39.3200 1 0.1212
23 56 -46.1549 1 0.1769
24 56 -55.2850 1 0.0006
25 56 -56.9115 1 0.0003
26 56 -60.6071 1 0.0003
27 56 -56.0404 1 0.0005
28 56 -53.9075 1 0.0004
29 56 -38.6430 1 0.0149
30 56 -25.3900 0 0.4000
31 56 -3.3900 0 0.5000
20 57 -6.8740 0 0.4000
21 57 -20.9959 1 1.3041
22 57 -33.9156 1 0.2564
23 57 -44.4134 1 0.0805
24 57 -52.5247 1 0.0011
25 57 -57.4863 1 0.0015
26 57 -60.1818 1 0.0003
27 57 -59.3456 1 0.0005
28 57 -56.0838 1 0.0006
29 57 -47.3089 1 0.0005
30 57 -32.5500 0 0.2000
31 57 -15.0100 0 0.4000
20 58 -1.9190 0 0.5000
21 58 -14.8760 0 0.4000
22 58 -31.1100 0 0.2000
23 58 -40.4018 1 0.0894
24 58 -51.9918 1 0.0015
25 58 -55.8276 1 0.0027
26 58 -62.1551 1 0.0003
27 58 -59.8472 1 0.0012
28 58 -60.2287 1 0.0004
29 58 -51.6677 1 0.0006
30 58 -42.2987 1 0.0500
31 58 -23.5400 0 0.3000
32 58 -7.0800 0 0.5000
21 59 -10.3020 0 0.4000
22 59 -25.5100 0 0.2000
23 59 -37.8320 1 0.1619
24 59 -48.0858 1 0.2164
25 59 -55.5253 1 0.0023
26 59 -60.6648 1 0.0004
27 59 -62.2297 1 0.0004
28 59 -61.1567 1 0.0004
29 59 -56.3583 1 0.0005
30 59 -47.2156 1 0.0008
31 59 -33.7600 0 0.1700
32 59 -15.8700 0 0.4000
21 60 -4.0520 0 0.5000
22 60 -22.3300 0 0.3000
23 60 -33.2420 1 0.2202
24 60 -46.6696 1 0.1936
25 60 -52.9679 1 0.0023
26 60 -61.4130 1 0.0034
27 60 -61.6503 1 0.0004
28 60 -64.4731 1 0.0004
29 60 -58.3451 1 0.0016
30 60 -54.1743 1 0.0006
31 60 -39.5900 0 0.2000
32 60 -27.0900 0 0.3000
33 60 -5.4700 0 0.4000
21 61 0.9310 0 0.6000
22 61 -16.3500 0 0.4000
23 61 -30.5064 1 0.8942
24 61 -42.4752 1 0.1013
25 61 -51.7421 1 0.0023
26 61 -58.9205 1 0.0026
27 61 -62.8981 1 0.0008
28 61 -64.2219 1 0.0004
29 61 -61.9841 1 0.0010
30 61 -56.3489 1 0.0159
31 61 -47.1347 1 0.0380
32 61 -33.3600 0 0.3000
33 61 -16.9000 0 0.3000
22 62 -12.5000 0 0.4000
23 62 -25.4760 0 0.2980
24 62 -40.8950 1 0.1481
25 62 -48.5240 1 0.0065
26 62 -58.8780 1 0.0028
27 62 -61.4243 1 0.0186
28 62 -66.7463 1 0.0004
29 62 -62.7874 1 0.0006
30 62 -61.1680 1 0.0006
31 62 -51.9869 1 0.0006
32 62 -41.7400 0 0.1400
33 62 -24.3200 0 0.3000
22 63 -5.7500 0 0.5000
23 63 -21.8900 0 0.4000
24 63 -36.0075 1 0.3581
25 63 -46.8871 1 0.0037
26 63 -55.6356 1 0.0043
27 63 -61.8514 1 0.0186
28 63 -65.5128 1 0.0004
29 63 -65.5798 1 0.0004
30 63 -62.2134 1 0.0016
31 63 -56.5471 1 0.0013
32 63 -46.9212 1 0.0373
33 63 -33.5000 0 0.2000
22 64 -1.0250 0 0.6000
23 64 -16.3200 0 0.4000
24 64 -33.4798 1 0.4397
25 64 -42.9890 1 0.0035
26 64 -54.9695 1 0.0050
27 64 -59.7923 1 0.0200
28 64 -67.0989 1 0.0005
29 64 -65.4245 1 0.0004
30 64 -66.0040 1 0.0006
31 64 -58.8328 1 0.0014
32 64 -54.3155 1 0.0037
33 64 -39.5320 0 0.2030
34 64 -26.7000 0 0.5030
23 65 -11.7800 0 0.5000
24 65 -28.2200 0 0.3000
25 65 -40.9673 1 0.0037
26 65 -51.2179 1 0.0051
27 65 -59.1852 1 0.0021
28 65 -65.1257 1 0.0005
29 65 -67.2637 1 0.0006
30 65 -65.9120 1 0.0006
31 65 -62.6575 1 0.0008
32 65 -56.4782 1 0.0022
33 65 -46.9371 1 0.0848
34 65 -33.0200 0 0.3000
23 66 -5.6100 0 0.5000
24 66 -24.7200 0 0.4000
25 66 -36.7504 1 0.0112
26 66 -50.0678 1 0.0041
27 66 -56.4085 1 0.0140
28 66 -66.0063 1 0.0014
29 66 -66.2583 1 0.0007
30 66 -68.8992 1 0.0007
31 66 -63.7237 1 0.0011
32 66 -61.6070 1 0.0024
33 66 -52.0251 1 0.0057
34 66 -41.6600 0 0.2000
23 67 -0.6500 0 0.6000
24 67 -18.6800 0 0.4000
25 67 -33.4600 0 0.3000
26 67 -45.6102 1 0.2703
27 67 -55.3218 1 0.0064
28 67 -63.7427 1 0.0029
29 67 -67.3195 1 0.0009
30 67 -67.8803 1 0.0008
31 67 -66.8790 1 0.0012
32 67 -62.6582 1 0.0047
33 67 -56.5872 1 0.0004
34 67 -46.5803 1 0.0671
35 67 -32.7900 0 0.4000
24 68 -14.8000 0 0.5000
25 68 -28.3800 0 0.4000
26 68 -43.4869 1 0.3653
27 68 -51.9307 1 0.1895
28 68 -63.4638 1 0.0030
29 68 -65.5670 1 0.0016
30 68 -70.0071 1 0.0008
31 68 -67.0860 1 0.0014
32 68 -66.9788 1 0.0019
33 68 -58.8945 1 0.0018
34 68 -54.1894 1 0.0005
35 68 -38.7910 0 0.2590
24 69 -8.5800 0 0.5000
25 69 -24.7700 0 0.4000
26 69 -39.0300 0 0.4000
27 69 -50.2792 1 0.1405
28 69 -59.9786 1 0.0037
29 69 -65.7362 1 0.0014
30 69 -68.4178 1 0.0008
31 69 -69.3278 1 0.0012
32 69 -67.1007 1 0.0013
33 69 -63.1122 1 0.0320
34 69 -56.4347 1 0.0015
35 69 -46.2595 1 0.0420
36 69 -32.4350 0 0.4010
24 70 -4.4800 0 0.6000
25 70 -19.5000 0 0.5000
26 70 -36.5100 0 0.4000
27 70 -46.6300 0 0.3000
28 70 -59.2139 1 0.0021
29 70 -62.9764 1 0.0011
30 70 -69.5647 1 0.0019
31 70 -68.9101 1 0.0012
32 70 -70.5619 1 0.0008
33 70 -64.3419 1 0.0500
34 70 -61.9299 1 0.0016
35 70 -51.4256 1 0.0149
36 70 -41.1000 0 0.2000
25 71 -15.5700 0 0.5000
26 71 -31.4300 0 0.4000
27 71 -44.3699 1 0.4650
28 71 -55.4062 1 0.0022
29 71 -62.7111 1 0.0015
30 71 -67.3288 1 0.0027
31 71 -70.1391 1 0.0008
32 71 -69.9065 1 0.0008
33 71 -67.8931 1 0.0042
34 71 -63.1465 1 0.0028
35 71 -56.5024 1 0.0054
36 71 -46.3272 1 0.1288
37 71 -32.0600 0 0.4000
25 72 -9.9000 0 0.6000
26 72 -28.4300 0 0.5000
27 72 -40.2000 0 0.4000
28 72 -54.2261 1 0.0022
29 72 -59.7830 1 0.0014
30 72 -68.1455 1 0.0021
31 72 -68.5883 1 0.0008
32 72 -72.5859 1 0.0001
33 72 -68.2298 1 0.0041
34 72 -67.8682 1 0.0020
35 72 -59.0617 1 0.0010
36 72 -53.9406 1 0.0080
37 72 -38.3300 0 0.5000
26 73 -22.9000 0 0.5000
27 73 -37.4180 0 0.4000
28 73 -50.1082 1 0.0024
29 73 -58.9874 1 0.0019
30 73 -65.5934 1 0.0019
31 73 -69.6993 1 0.0017
32 73 -71.2975 1 0.0001
33 73 -70.9527 1 0.0039
34 73 -68.2274 1 0.0074
35 73 -63.6475 1 0.0073
36 73 -56.5518 1 0.0066
37 73 -46.0820 0 0.2000
38 73 -31.9500 0 0.4010
26 74 -19.5900 0 0.6000
27 74 -32.8200 0 0.5000
28 74 -48.4560 0 0.1960
29 74 -56.0062 1 0.0061
30 74 -65.7567 1 0.0025
31 74 -68.0496 1 0.0030
32 74 -73.4224 1 0.0000
33 74 -70.8601 1 0.0017
34 74 -72.2132 1 0.0000
35 74 -65.2882 1 0.0058
36 74 -62.3318 1 0.0020
37 74 -51.9160 1 0.0030
38 74 -40.8270 0 0.1000
26 75 -13.6400 0 0.6000
27 75 -29.6490 0 0.5000
28 75 -44.0300 0 0.3000
29 75 -54.4713 1 0.0023
30 75 -62.5589 1 0.0020
31 75 -68.4646 1 0.0024
32 75 -71.8570 1 0.0001
33 75 -73.0342 1 0.0009
34 75 -72.1695 1 0.0001
35 75 -69.1070 1 0.0043
36 75 -64.3236 1 0.0081
37 75 -57.2187 1 0.0012
38 75 -46.6187 1 0.2200
39 75 -31.8200 0 0.3000
27 76 -24.5100 0 0.6000
28 76 -41.6300 0 0.4000
29 76 -50.9760 1 0.0067
30 76 -62.3030 1 0.0015
31 76 -66.2966 1 0.0020
32 76 -73.2129 1 0.0000
33 76 -72.2914 1 0.0009
34 76 -75.2519 1 0.0000
35 76 -70.2891 1 0.0093
36 76 -69.0137 1 0.0040
37 76 -60.4791 1 0.0009
38 76 -54.2476 1 0.0345
39 76 -38.4800 0 0.3000
27 77 -21.0150 0 0.6000
28 77 -36.8000 0 0.5000
29 77 -48.6240 0 0.1490
30 77 -58.7892 1 0.0020
31 77 -65.9923 1 0.0024
32 77 -71.2129 1 0.0001
33 77 -73.9163 1 0.0017
34 77 -74.5995 1 0.0001
35 77 -73.2348 1 0.0028
36 77 -70.1694 1 0.0020
37 77 -64.8305 1 0.0013
38 77 -57.8034 1 0.0079
39 77 -46.4390 0 0.2030
40 77 -32.0400 0 0.4000
28 78 -33.8900 0 0.6000
29 78 -44.4975 1 0.5030
30 78 -57.4832 1 0.0019
31 78 -63.7059 1 0.0019
32 78 -71.8620 1 0.0035
33 78 -72.8169 1 0.0098
34 78 -77.0259 1 0.0002
35 78 -73.4522 1 0.0036
36 78 -74.1783 1 0.0003
37 78 -66.9354 1 0.0032
38 78 -63.1739 1 0.0075
39 78 -52.1730 0 0.2980
40 78 -40.8500 0 0.4000
28 79 -27.5700 0 0.6000
29 79 -41.7400 0 0.3000
30 79 -53.4323 1 0.0022
31 79 -62.5477 1 0.0019
32 79 -69.5266 1 0.0372
33 79 -73.6360 1 0.0053
34 79 -75.9175 1 0.0002
35 79 -76.0680 1 0.0010
36 79 -74.4423 1 0.0035
37 79 -70.8030 1 0.0021
38 79 -65.4769 1 0.0084
39 79 -57.8178 1 0.0792
40 79 -46.7700 0 0.3000
41 79 -31.6500 0 0.5000
28 80 -22.6300 0 0.7000
29 80 -36.2000 0 0.4000
30 80 -51.6486 1 0.0026
31 80 -59.2237 1 0.0029
32 80 -69.5353 1 0.0021
33 80 -72.2145 1 0.0033
34 80 -77.7595 1 0.0010
35 80 -75.8890 1 0.0010
36 80 -77.8933 1 0.0007
37 80 -72.1755 1 0.0019
38 80 -70.3115 1 0.0035
39 80 -61.1482 1 0.0062
40 80 -54.3600 0 0.3000
41 80 -38.4200 0 0.4000
29 81 -31.4200 0 0.5000
30 81 -46.1997 1 0.0050
31 81 -57.6280 1 0.0033
32 81 -66.2917 1 0.0021
