# DataSet FAZIAPRE-MAY2018
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/FAZIAPRE-MAY2018/
run=198 | starting date=Thu May 24 20:44:00 2018 | nfiles=10 | size(GB)=0.93
run=199 | starting date=Thu May 24 20:45:13 2018 | nfiles=10 | size(GB)=0.93
run=200 | starting date=Thu May 24 20:46:27 2018 | nfiles=10 | size(GB)=0.93
run=201 | starting date=Thu May 24 20:47:44 2018 | nfiles=10 | size(GB)=0.93
run=202 | starting date=Thu May 24 20:49:01 2018 | nfiles=10 | size(GB)=0.93
run=203 | starting date=Thu May 24 20:50:17 2018 | nfiles=10 | size(GB)=0.93
run=204 | starting date=Thu May 24 20:51:32 2018 | nfiles=10 | size(GB)=0.93
run=205 | starting date=Thu May 24 20:52:48 2018 | nfiles=10 | size(GB)=0.93
run=206 | starting date=Thu May 24 20:54:04 2018 | nfiles=10 | size(GB)=0.93
run=207 | starting date=Thu May 24 20:55:23 2018 | nfiles=10 | size(GB)=0.93
run=208 | starting date=Thu May 24 20:56:45 2018 | nfiles=10 | size(GB)=0.93
run=209 | starting date=Thu May 24 20:58:02 2018 | nfiles=10 | size(GB)=0.93
run=210 | starting date=Thu May 24 20:59:22 2018 | nfiles=10 | size(GB)=0.93
run=211 | starting date=Thu May 24 21:00:43 2018 | nfiles=10 | size(GB)=0.93
run=212 | starting date=Thu May 24 21:02:02 2018 | nfiles=10 | size(GB)=0.93
run=213 | starting date=Thu May 24 21:03:14 2018 | nfiles=10 | size(GB)=0.93
run=214 | starting date=Thu May 24 21:04:28 2018 | nfiles=10 | size(GB)=0.93
run=215 | starting date=Thu May 24 21:05:42 2018 | nfiles=10 | size(GB)=0.93
run=216 | starting date=Thu May 24 21:06:55 2018 | nfiles=10 | size(GB)=0.93
run=217 | starting date=Thu May 24 21:08:05 2018 | nfiles=10 | size(GB)=0.93
run=218 | starting date=Thu May 24 21:09:21 2018 | nfiles=10 | size(GB)=0.93
run=219 | starting date=Thu May 24 21:10:39 2018 | nfiles=10 | size(GB)=0.93
run=220 | starting date=Thu May 24 21:11:55 2018 | nfiles=10 | size(GB)=0.93
run=221 | starting date=Thu May 24 21:13:15 2018 | nfiles=10 | size(GB)=0.93
run=222 | starting date=Thu May 24 21:14:35 2018 | nfiles=10 | size(GB)=0.93
run=223 | starting date=Thu May 24 21:15:52 2018 | nfiles=10 | size(GB)=0.93
run=224 | starting date=Thu May 24 21:17:09 2018 | nfiles=10 | size(GB)=0.93
run=225 | starting date=Thu May 24 21:18:28 2018 | nfiles=10 | size(GB)=0.93
run=226 | starting date=Thu May 24 21:19:53 2018 | nfiles=10 | size(GB)=0.93
run=227 | starting date=Thu May 24 21:21:18 2018 | nfiles=10 | size(GB)=0.93
run=228 | starting date=Thu May 24 21:22:41 2018 | nfiles=10 | size(GB)=0.93
run=229 | starting date=Thu May 24 21:24:01 2018 | nfiles=10 | size(GB)=0.93
run=230 | starting date=Thu May 24 21:25:19 2018 | nfiles=10 | size(GB)=0.93
run=231 | starting date=Thu May 24 21:26:36 2018 | nfiles=10 | size(GB)=0.93
run=232 | starting date=Thu May 24 21:27:50 2018 | nfiles=10 | size(GB)=0.93
run=233 | starting date=Thu May 24 21:28:59 2018 | nfiles=10 | size(GB)=0.93
run=234 | starting date=Thu May 24 21:29:59 2018 | nfiles=10 | size(GB)=0.93
run=235 | starting date=Thu May 24 21:31:17 2018 | nfiles=10 | size(GB)=0.93
run=236 | starting date=Thu May 24 21:32:34 2018 | nfiles=10 | size(GB)=0.93
