RunRange: 2-532
CSI_0623_L: 30.889
CSI_0623_R: 18.9799
CSI_0624_L: 31.1788
CSI_0624_R: 18
CSI_0701_L: 31.9732
CSI_0701_R: 16.124
CSI_0702_L: 37.325
CSI_0702_R: 21.0026
CSI_0703_L: 39.3275
CSI_0703_R: 24.0641
CSI_0704_L: 41.2759
CSI_0704_R: 26
CSI_0705_L: 35.0755
CSI_0705_R: 21
CSI_0706_L: 41.9307
CSI_0706_R: 26
CSI_0707_L: 38.4663
CSI_0707_R: 24.5896
CSI_0708_L: 38.8484
CSI_0708_R: 24
CSI_0709_L: 38.7936
CSI_0709_R: 22
CSI_0710_L: 36.4887
CSI_0710_R: 22.9917
CSI_0711_L: 38.593
CSI_0711_R: 23
CSI_0712_L: 33.5486
CSI_0712_R: 18.6332
CSI_0713_L: 35.3665
CSI_0713_R: 19
CSI_0714_L: 31.6149
CSI_0714_R: 17
CSI_0715_L: 34.9022
CSI_0715_R: 20
CSI_0716_L: 33.4304
CSI_0716_R: 18
CSI_0717_L: 32.7036
CSI_0717_R: 17.8064
CSI_0718_L: 34.3142
CSI_0718_R: 19
CSI_0719_L: 29.6963
CSI_0719_R: 16
CSI_0720_L: 31.2843
CSI_0720_R: 17.746
CSI_0721_L: 23.9968
CSI_0721_R: 10.9539
CSI_0722_L: 26.9685
CSI_0722_R: 14.021
CSI_0723_L: 26.3664
CSI_0723_R: 12.0036
CSI_0724_L: 27.5845
CSI_0724_R: 14.0499
CSI_0801_L: 34.056
CSI_0801_R: 24.0264
CSI_0802_L: 36.5946
CSI_0802_R: 26.8124
CSI_0803_L: 41.4297
CSI_0803_R: 30.0012
CSI_0804_L: 41.4616
CSI_0804_R: 32
CSI_0805_L: 39.726
CSI_0805_R: 29.1606
CSI_0806_L: 38.4916
CSI_0806_R: 28.0039
CSI_0807_L: 40.2518
CSI_0807_R: 28.9971
CSI_0808_L: 41.2473
CSI_0808_R: 31.5853
CSI_0809_L: 37.661
CSI_0809_R: 27.3049
CSI_0810_L: 37.8586
CSI_0810_R: 29
CSI_0811_L: 37.442
CSI_0811_R: 28
CSI_0812_L: 57.3818
CSI_0812_R: 32.9078
CSI_0813_L: 33.646
CSI_0813_R: 25.0633
CSI_0814_L: 35.6066
CSI_0814_R: 25.9992
CSI_0815_L: 33.3616
CSI_0815_R: 23
CSI_0816_L: 36.6123
CSI_0816_R: 25
CSI_0817_L: 34.6109
CSI_0817_R: 23
CSI_0818_L: 34.7146
CSI_0818_R: 24.9101
CSI_0819_L: 31.2815
CSI_0819_R: 22
CSI_0820_L: 32.7497
CSI_0820_R: 22.4775
CSI_0821_L: 29.9871
CSI_0821_R: 19
CSI_0822_L: 25.6517
CSI_0822_R: 16
CSI_0823_L: 29.0524
CSI_0823_R: 18.9554
CSI_0824_L: 27.1752
CSI_0824_R: 19
CSI_0901_L: 31.3417
CSI_0901_R: 24.9974
CSI_0902_L: 34.8283
CSI_0902_R: 26.9569
CSI_0903_L: 37.2819
CSI_0903_R: 29.0239
CSI_0904_L: 37.4696
CSI_0904_R: 30.9085
CSI_0905_L: 36.482
CSI_0905_R: 29
CSI_0906_L: 35.246
CSI_0906_R: 29
CSI_0907_L: 37.8342
CSI_0907_R: 29.9762
CSI_0908_L: -1
CSI_0908_R: 21.9991
CSI_0909_L: 37.2076
CSI_0909_R: 30
CSI_0910_L: 39.7603
CSI_0910_R: 32
CSI_0911_L: 35.5913
CSI_0911_R: 28.005
CSI_0912_L: 35.4341
CSI_0912_R: 28
CSI_0913_L: 31.7128
CSI_0913_R: 25.9543
CSI_0914_L: 35.0667
CSI_0914_R: 26
CSI_0915_L: 33.6438
CSI_0915_R: 26
CSI_0916_L: -1
CSI_0916_R: 15.0867
CSI_0917_L: 31.5663
CSI_0917_R: 24
CSI_0918_L: 29.1594
CSI_0918_R: 22.8446
CSI_0919_L: 28.5966
CSI_0919_R: 22.5518
CSI_0920_L: 29.6396
CSI_0920_R: 22.0201
CSI_0921_L: 27.7877
CSI_0921_R: 21
CSI_0922_L: 25.2778
CSI_0922_R: 20
CSI_0923_L: 23.4753
CSI_0923_R: 17
CSI_0924_L: 25.0207
CSI_0924_R: 18.0747
CSI_1001_L: 32.515
CSI_1001_R: 17
CSI_1002_L: 39.402
CSI_1002_R: 22.9331
CSI_1003_L: 42.3673
CSI_1003_R: 25.8347
CSI_1004_L: 42.6744
CSI_1004_R: 26
CSI_1005_L: 36.2272
CSI_1005_R: 20.1673
CSI_1006_L: -1
CSI_1006_R: 15.9817
CSI_1007_L: 39.5519
CSI_1007_R: 24
CSI_1008_L: 39.7963
CSI_1008_R: 24
CSI_1009_L: 35.6609
CSI_1009_R: 21
CSI_1010_L: 38.5865
CSI_1010_R: 23.9246
CSI_1011_L: 35.1779
CSI_1011_R: 20
CSI_1012_L: 36.8659
CSI_1012_R: 22
CSI_1013_L: 32.5092
CSI_1013_R: 18.0749
CSI_1014_L: 32.3294
CSI_1014_R: 18
CSI_1015_L: 33.0836
CSI_1015_R: 17
CSI_1016_L: 30.5703
CSI_1016_R: 15
CSI_1017_L: 32.6505
CSI_1017_R: 15.2419
CSI_1018_L: 33.9261
CSI_1018_R: 17
CSI_1019_L: 34.4506
CSI_1019_R: 16.2871
CSI_1020_L: 30.6341
CSI_1020_R: 13
CSI_1021_L: 31.2182
CSI_1021_R: 13
CSI_1022_L: 28.3069
CSI_1022_R: 10.1691
CSI_1023_L: 26.0005
CSI_1023_R: 10
CSI_1024_L: 27.4855
CSI_1024_R: 10
CSI_1101_L: 36.7001
CSI_1101_R: 18
CSI_1102_L: 42.2718
CSI_1102_R: 23
CSI_1103_L: 46.483
CSI_1103_R: 27.0013
CSI_1104_L: 46.5857
CSI_1104_R: 27.0015
CSI_1105_L: 43.0128
CSI_1105_R: 24
CSI_1106_L: 41.319
CSI_1106_R: 24
CSI_1107_L: 45.3169
CSI_1107_R: 26.0154
CSI_1108_L: 48.4769
CSI_1108_R: 28
CSI_1109_L: 43.8815
CSI_1109_R: 24
CSI_1110_L: 45.5925
CSI_1110_R: 26.1503
CSI_1111_L: 45.3398
CSI_1111_R: 26
CSI_1112_L: 44.4075
CSI_1112_R: 27
CSI_1113_L: 43.2818
CSI_1113_R: 22.9989
CSI_1114_L: 43.9544
CSI_1114_R: 23.0112
CSI_1115_L: 41.9998
CSI_1115_R: 22.4561
CSI_1116_L: 41.607
CSI_1116_R: 21.5503
CSI_1117_L: 40.5511
CSI_1117_R: 20.0027
CSI_1118_L: 41.8232
CSI_1118_R: 22.003
CSI_1119_L: 40.8843
CSI_1119_R: 20
CSI_1120_L: 39.0047
CSI_1120_R: 20.0575
CSI_1121_L: 34.9566
CSI_1121_R: 14.5158
CSI_1122_L: 36.8587
CSI_1122_R: 16
CSI_1123_L: 36.202
CSI_1123_R: 15.8394
CSI_1124_L: 32.1052
CSI_1124_R: 13
CSI_1201_L: 41.4789
CSI_1201_R: 25.001
CSI_1202_L: 50.1292
CSI_1202_R: 30.9805
CSI_1203_L: 46.2183
CSI_1203_R: 31.244
CSI_1204_L: 49.7315
CSI_1204_R: 34
CSI_1205_L: 42.0763
CSI_1205_R: 27.0204
CSI_1206_L: 51.6441
CSI_1206_R: 35
CSI_1207_L: 45.5866
CSI_1207_R: 31
CSI_1208_L: 45.1823
CSI_1208_R: 29.8038
CSI_1209_L: 41.275
CSI_1209_R: 28
CSI_1210_L: 47.2437
CSI_1210_R: 31.8096
CSI_1211_L: 48.7838
CSI_1211_R: 31.9991
CSI_1212_L: 45.5136
CSI_1212_R: 30
CSI_1213_L: 39.1284
CSI_1213_R: 25
CSI_1214_L: 38.1211
CSI_1214_R: 23
CSI_1215_L: 42.3357
CSI_1215_R: 27
CSI_1216_L: 40.215
CSI_1216_R: 25.0682
CSI_1217_L: 40.2674
CSI_1217_R: 25.0065
CSI_1218_L: 38.9576
CSI_1218_R: 27.0012
CSI_1219_L: 37.8074
CSI_1219_R: 24
CSI_1220_L: 43.062
CSI_1220_R: 26
CSI_1221_L: 36.03
CSI_1221_R: 21.8386
CSI_1222_L: 34.4498
CSI_1222_R: 20
CSI_1223_L: 34.7644
CSI_1223_R: 20
CSI_1224_L: 25.0781
CSI_1224_R: 15
CSI_1301_L: 197.267
CSI_1301_R: 56
CSI_1302_L: 43.5928
CSI_1302_R: 27.9989
CSI_1303_L: 38.1437
CSI_1303_R: 23.0011
CSI_1304_L: 45.9183
CSI_1304_R: 30.0075
CSI_1305_L: 44.364
CSI_1305_R: 29.7228
CSI_1306_L: 38.0969
CSI_1306_R: 23.0186
CSI_1307_L: 44.185
CSI_1307_R: 28.9889
CSI_1308_L: 42.3257
CSI_1308_R: 27
CSI_1309_L: 40.2163
CSI_1309_R: 23.9623
CSI_1310_L: 44.8799
CSI_1310_R: 30.04
CSI_1311_L: 45.3397
CSI_1311_R: 30
CSI_1312_L: 41.0838
CSI_1312_R: 25.0707
CSI_1313_L: 45.1327
CSI_1313_R: 29
CSI_1314_L: 42.9557
CSI_1314_R: 27.5933
CSI_1315_L: 35.1869
CSI_1315_R: 18.1201
CSI_1316_L: 45.0441
CSI_1316_R: 29.622
CSI_1317_L: 40.7331
CSI_1317_R: 24.6376
CSI_1318_L: 33.8945
CSI_1318_R: 18
CSI_1319_L: 45.3311
CSI_1319_R: 28.9879
CSI_1320_L: 39.8429
CSI_1320_R: 25
CSI_1321_L: 34.2993
CSI_1321_R: 19
CSI_1322_L: -1
CSI_1322_R: -1
CSI_1323_L: 39.9532
CSI_1323_R: 25.1471
CSI_1324_L: 34.4395
CSI_1324_R: 19.2069
CSI_1401_L: 43.3755
CSI_1401_R: 19.9273
CSI_1402_L: 43.271
CSI_1402_R: 23
CSI_1403_L: 45.514
CSI_1403_R: 23
CSI_1404_L: 47.4493
CSI_1404_R: 25
CSI_1405_L: 47.4332
CSI_1405_R: 24
CSI_1406_L: 46.4682
CSI_1406_R: 24.9677
CSI_1407_L: 51.3287
CSI_1407_R: 27
CSI_1408_L: 47.9243
CSI_1408_R: 25
CSI_1409_L: 61.0238
CSI_1409_R: 25.8359
CSI_1410_L: 42.2916
CSI_1410_R: 19.4339
CSI_1411_L: 45.525
CSI_1411_R: 22.0139
CSI_1412_L: 42.6005
CSI_1412_R: 20.6428
CSI_1413_L: 45.3329
CSI_1413_R: 23
CSI_1414_L: 43.788
CSI_1414_R: 20.9892
CSI_1415_L: 45.3875
CSI_1415_R: 22.0026
CSI_1416_L: 39.8226
CSI_1416_R: 18
CSI_1501_L: 44.3048
CSI_1501_R: 21.0016
CSI_1502_L: 55.0014
CSI_1502_R: 28
CSI_1503_L: 41.7444
CSI_1503_R: 20
CSI_1504_L: 57.2672
CSI_1504_R: 28.9854
CSI_1505_L: 41.3975
CSI_1505_R: 20
CSI_1506_L: 58.0053
CSI_1506_R: 29
CSI_1507_L: 41.1737
CSI_1507_R: 19
CSI_1508_L: 58.62
CSI_1508_R: 29.8021
CSI_1509_L: 36.6973
CSI_1509_R: 14.9897
CSI_1510_L: 56.0384
CSI_1510_R: 29
CSI_1511_L: 38.4214
CSI_1511_R: 14.6374
CSI_1512_L: 59.999
CSI_1512_R: 29.9992
CSI_1513_L: 35.331
CSI_1513_R: 14
CSI_1514_L: 59.1886
CSI_1514_R: 29.1276
CSI_1515_L: -1
CSI_1515_R: 4
CSI_1516_L: 59.8829
CSI_1516_R: 29.001
CSI_1601_L: 54.0106
CSI_1601_R: 23.9652
CSI_1602_L: 54.0002
CSI_1602_R: 23.1239
CSI_1603_L: 54.0075
CSI_1603_R: 23
CSI_1604_L: 53.049
CSI_1604_R: 22.0319
CSI_1605_L: 49.9943
CSI_1605_R: 20.9736
CSI_1606_L: 51.9773
CSI_1606_R: 21
CSI_1607_L: 51.562
CSI_1607_R: 20.0012
CSI_1608_L: 51.0069
CSI_1608_R: 19.8674
CSI_1701_L: 39.0015
CSI_1701_R: 14
CSI_1702_L: 38.0011
CSI_1702_R: 13.9824
CSI_1703_L: 38.009
CSI_1703_R: 13.001
CSI_1704_L: 36.9824
CSI_1704_R: 12.9546
CSI_1705_L: 28.0013
CSI_1705_R: 10.626
CSI_1706_L: 36.0062
CSI_1706_R: 11.0153
CSI_1707_L: 35.0008
CSI_1707_R: 11
CSI_1708_L: 35.0023
CSI_1708_R: 10.8233
