RunRange: 533-1347
CSI_0817_L: 34.3141
CSI_0817_R: 22.9198
CSI_0818_L: 34.3711
CSI_0818_R: 24.0004
CSI_0819_L: 30.9012
CSI_0819_R: 21.0721
CSI_0820_L: 32.4417
CSI_0820_R: 22
CSI_0821_L: 29.519
CSI_0821_R: 18.0233
CSI_0822_L: 25.3258
CSI_0822_R: 15.9075
CSI_0823_L: 28.8368
CSI_0823_R: 18
CSI_0824_L: 26.7279
CSI_0824_R: 18.926
CSI_0901_L: 30.9957
CSI_0901_R: 24.0225
CSI_0902_L: 34.5481
CSI_0902_R: 26.1158
CSI_0903_L: 36.9761
CSI_0903_R: 29
CSI_0904_L: 37.2315
CSI_0904_R: 30.0204
CSI_0905_L: 36.2025
CSI_0905_R: 29
CSI_0906_L: 34.7501
CSI_0906_R: 29
CSI_0907_L: 37.5087
CSI_0907_R: 29.0252
CSI_0908_L: -1
CSI_0908_R: 21
CSI_0909_L: 36.671
CSI_0909_R: 29.1949
CSI_0910_L: 39.4473
CSI_0910_R: 31.8907
CSI_0911_L: 35.1734
CSI_0911_R: 28
CSI_0912_L: 35.0775
CSI_0912_R: 27.5231
CSI_0913_L: 31.3143
CSI_0913_R: 25
CSI_0914_L: 34.6468
CSI_0914_R: 25.6138
CSI_0915_L: 33.2328
CSI_0915_R: 25.1619
CSI_0916_L: -1
CSI_0916_R: 15
CSI_0917_L: 31.1812
CSI_0917_R: 23.8391
CSI_0918_L: 28.7509
CSI_0918_R: 22
CSI_0919_L: 28.2194
CSI_0919_R: 22
CSI_0920_L: 29.3309
CSI_0920_R: 22
CSI_0921_L: 27.446
CSI_0921_R: 20.9657
CSI_0922_L: 24.8919
CSI_0922_R: 19.9985
CSI_0923_L: 23.021
CSI_0923_R: 16.978
CSI_0924_L: 24.6477
CSI_0924_R: 18
CSI_1001_L: 32.2583
CSI_1001_R: 16.7339
CSI_1002_L: 39.1622
CSI_1002_R: 22.1199
CSI_1003_L: 42.1476
CSI_1003_R: 25.0923
CSI_1004_L: 42.4592
CSI_1004_R: 26
CSI_1005_L: 35.7321
CSI_1005_R: 20
CSI_1006_L: -1
CSI_1006_R: 15.0005
CSI_1007_L: 39.302
CSI_1007_R: 23.3872
CSI_1008_L: 39.4926
CSI_1008_R: 24
CSI_1009_L: 35.3831
CSI_1009_R: 20.7495
CSI_1010_L: 38.3224
CSI_1010_R: 23.0136
CSI_1011_L: 34.7859
CSI_1011_R: 20
CSI_1012_L: 36.5345
CSI_1012_R: 22
CSI_1013_L: 32.1954
CSI_1013_R: 18
CSI_1014_L: 32
CSI_1014_R: 17.6055
CSI_1015_L: 32.7188
CSI_1015_R: 17
CSI_1016_L: 30.2853
CSI_1016_R: 14.9681
CSI_1017_L: 32.3362
CSI_1017_R: 15
CSI_1018_L: 33.481
CSI_1018_R: 16.715
CSI_1019_L: 34.1138
CSI_1019_R: 16
CSI_1020_L: 30.2107
CSI_1020_R: 13
CSI_1021_L: 30.9466
CSI_1021_R: 12.9995
CSI_1022_L: 27.9845
CSI_1022_R: 10
CSI_1023_L: 25.5729
CSI_1023_R: 9.04677
CSI_1024_L: 27.0384
CSI_1024_R: 9.51583
CSI_1101_L: 36.4196
CSI_1101_R: 17.3408
CSI_1102_L: 41.7809
CSI_1102_R: 22.9288
CSI_1103_L: 46.277
CSI_1103_R: 27
CSI_1104_L: 46.3807
CSI_1104_R: 27
CSI_1105_L: 42.6184
CSI_1105_R: 23.6112
CSI_1106_L: 40.96
CSI_1106_R: 24
CSI_1107_L: 44.9256
CSI_1107_R: 26
CSI_1108_L: 48.1369
CSI_1108_R: 27.8726
CSI_1109_L: 43.4821
CSI_1109_R: 23.9983
CSI_1110_L: 45.2077
CSI_1110_R: 26
CSI_1111_L: 44.9817
CSI_1111_R: 25.9968
CSI_1112_L: 43.9409
CSI_1112_R: 26.5893
CSI_1113_L: 42.8607
CSI_1113_R: 22.0077
CSI_1114_L: 43.4977
CSI_1114_R: 23
CSI_1115_L: 41.5317
CSI_1115_R: 22
CSI_1116_L: 41.1012
CSI_1116_R: 21
CSI_1117_L: 40.149
CSI_1117_R: 20
CSI_1118_L: 41.4512
CSI_1118_R: 21.9966
CSI_1119_L: 40.4797
CSI_1119_R: 19.9176
CSI_1120_L: 38.5305
CSI_1120_R: 20
CSI_1121_L: 34.4056
CSI_1121_R: 14
CSI_1122_L: 36.3135
CSI_1122_R: 15.0017
CSI_1123_L: 35.7515
CSI_1123_R: 15
CSI_1124_L: 31.6822
CSI_1124_R: 12.6752
CSI_1201_L: 41.1104
CSI_1201_R: 25
CSI_1202_L: 49.7158
CSI_1202_R: 30.2273
CSI_1203_L: 45.8254
CSI_1203_R: 31
CSI_1204_L: 49.4607
CSI_1204_R: 33.6212
CSI_1205_L: 41.6953
CSI_1205_R: 27
CSI_1206_L: 51.31
CSI_1206_R: 34.4814
CSI_1207_L: 45.3233
CSI_1207_R: 30.5919
CSI_1208_L: 44.6602
CSI_1208_R: 29.0013
CSI_1209_L: 40.9148
CSI_1209_R: 27.3512
CSI_1210_L: 46.7705
CSI_1210_R: 31.0013
CSI_1211_L: 48.4941
CSI_1211_R: 31.2151
CSI_1212_L: 45.1756
CSI_1212_R: 29.3426
CSI_1213_L: 38.7009
CSI_1213_R: 24.2861
CSI_1214_L: 37.5744
CSI_1214_R: 22.9742
CSI_1215_L: 41.8982
CSI_1215_R: 26.921
CSI_1216_L: 39.6839
CSI_1216_R: 25
CSI_1217_L: 39.6717
CSI_1217_R: 25
CSI_1218_L: 38.5159
CSI_1218_R: 26.9996
CSI_1219_L: 37.4009
CSI_1219_R: 23.044
CSI_1220_L: 42.592
CSI_1220_R: 25.9945
CSI_1221_L: 35.6263
CSI_1221_R: 21
CSI_1222_L: 34.0032
CSI_1222_R: 19.9377
CSI_1223_L: 34.3095
CSI_1223_R: 19.0669
CSI_1224_L: 24.6227
CSI_1224_R: 14.8702
CSI_1301_L: 196.56
CSI_1301_R: 55.8556
CSI_1302_L: 43.3582
CSI_1302_R: 27.1592
CSI_1303_L: 1934.06
CSI_1303_R: 1120.23
CSI_1304_L: 45.5879
CSI_1304_R: 30
CSI_1305_L: 43.9633
CSI_1305_R: 29.001
CSI_1306_L: 1817.32
CSI_1306_R: 1088.62
CSI_1307_L: 43.7811
CSI_1307_R: 28.1338
CSI_1308_L: 41.9933
CSI_1308_R: 27
CSI_1309_L: 1909.39
CSI_1309_R: 1135.71
CSI_1310_L: 44.5884
CSI_1310_R: 30
CSI_1311_L: 44.9906
CSI_1311_R: 29.188
CSI_1312_L: 1923.11
CSI_1312_R: 1143.73
CSI_1313_L: 44.7298
CSI_1313_R: 28.7982
CSI_1314_L: 42.5817
CSI_1314_R: 27.0004
CSI_1315_L: 1918.7
CSI_1315_R: 1126.08
CSI_1316_L: 44.6807
CSI_1316_R: 29
CSI_1317_L: 40.4551
CSI_1317_R: 24
CSI_1318_L: 1927.21
CSI_1318_R: 1128.86
CSI_1319_L: 44.9373
CSI_1319_R: 28.0132
CSI_1320_L: 39.5287
CSI_1320_R: 24.6949
CSI_1321_L: 1904.29
CSI_1321_R: 1151.82
CSI_1322_L: -1
CSI_1322_R: -1
CSI_1323_L: 39.5522
CSI_1323_R: 25.0007
CSI_1324_L: 1903.79
CSI_1324_R: 1136.54
CSI_1401_L: 42.8925
CSI_1401_R: 19.1265
CSI_1402_L: 42.8265
CSI_1402_R: 22.859
CSI_1403_L: 45.2618
CSI_1403_R: 23
CSI_1404_L: 47.0994
CSI_1404_R: 24.997
CSI_1405_L: 47.1272
CSI_1405_R: 23.8237
CSI_1406_L: 46.1656
CSI_1406_R: 24.1717
CSI_1407_L: 50.8402
CSI_1407_R: 26.8755
CSI_1408_L: 47.518
CSI_1408_R: 24.9983
CSI_1409_L: 60.067
CSI_1409_R: 25.0875
CSI_1410_L: 41.6991
CSI_1410_R: 19
CSI_1411_L: 45.2764
CSI_1411_R: 22
CSI_1412_L: 42.2786
CSI_1412_R: 20.0013
CSI_1413_L: 44.8209
CSI_1413_R: 22.9993
CSI_1414_L: 43.4353
CSI_1414_R: 20.1419
CSI_1415_L: 45.044
CSI_1415_R: 22
CSI_1416_L: 39.4302
CSI_1416_R: 17.9987
CSI_1501_L: 43.7222
CSI_1501_R: 21
CSI_1502_L: 48.6215
CSI_1502_R: 26.9991
CSI_1503_L: 41.4082
CSI_1503_R: 19.9811
CSI_1504_L: 50.8897
CSI_1504_R: 27.598
CSI_1505_L: 41.0108
CSI_1505_R: 19.7464
CSI_1506_L: 51.3462
CSI_1506_R: 28.0155
CSI_1507_L: 40.658
CSI_1507_R: 18.9966
CSI_1508_L: 51.9999
CSI_1508_R: 28.5013
CSI_1509_L: 36.3034
CSI_1509_R: 14.0578
CSI_1510_L: 49.9919
CSI_1510_R: 28.0008
CSI_1511_L: 38.0049
CSI_1511_R: 14
CSI_1512_L: 53.0865
CSI_1512_R: 28.9276
CSI_1513_L: 34.9029
CSI_1513_R: 13.5347
CSI_1514_L: 49.0017
CSI_1514_R: 28.0008
CSI_1515_L: -1
CSI_1515_R: 4
CSI_1516_L: 53.0023
CSI_1516_R: 28.0817
CSI_1601_L: 52.9995
CSI_1601_R: 23.1749
CSI_1602_L: 52.9393
CSI_1602_R: 23.0147
CSI_1603_L: 52.9849
CSI_1603_R: 22.9665
CSI_1604_L: 52.0047
CSI_1604_R: 22.0057
CSI_1605_L: 48.9708
CSI_1605_R: 20.3651
CSI_1606_L: 50.7432
CSI_1606_R: 20.3768
CSI_1607_L: 49.8694
CSI_1607_R: 19.9929
CSI_1608_L: 49.981
CSI_1608_R: 19.1779
CSI_1701_L: 38.0771
CSI_1701_R: 14.0299
CSI_1702_L: 37.097
CSI_1702_R: 13.5375
CSI_1703_L: 37.3898
CSI_1703_R: 13.0551
CSI_1704_L: 36.0016
CSI_1704_R: 12.4871
CSI_1705_L: 27.9639
CSI_1705_R: 10.9333
CSI_1706_L: 35.3384
CSI_1706_R: 11.1324
CSI_1707_L: 33.5573
CSI_1707_R: 10.438
CSI_1708_L: 34.2532
CSI_1708_R: 10.3961
