###########################################################
#$Id: pied_csi_e416a.dat,v 1.1 2006/03/20 01:13:45 franklan Exp $
#Piédestaux pour CsI, manip E416a
#Extraits du run 1005
#Chaque spectre fitté avec une gaussienne
#Format du fichier:
# nom_du_parametre moyenne erreur_sur_moyenne largeur erreur_sur_moyenne chi_square NDF
###########################################################
CSI_0904_R 32.3245 0.0273563 0.217984 0.0337179 1 -1
CSI_0904_L 39.1186 0.0053737 0.338578 0.00735733 1 1
CSI_0905_R 30.3204 0.0243534 0.207655 0.027916 1 -1
CSI_0905_L 37.855 0.357891 0.584684 0.700133 1 0
CSI_0906_R 30.7178 0.0482147 0.476704 0.0406712 1 0
CSI_0906_L 36.9492 0.017407 0.615408 0.100619 1 0
CSI_0907_R 31.3204 0.0258742 0.214203 0.0306034 1 -1
CSI_0907_L 39.8065 0.442369 0.567029 0.63207 1 0
CSI_0908_R 23.3317 0.0154534 0.159491 0.0144603 1 -1
CSI_0908_L 0.5 386.61 1 1.36241 9.19786e-17 -2
CSI_0909_R 31.3204 0.0258742 0.214203 0.0306034 1 -1
CSI_0909_L 38.7147 0.00357859 0.444078 0.0023111 1 1
CSI_0910_R 33.2874 0.0348366 0.309204 0.0108674 1 0
CSI_0910_L 41.543 0.00377286 0.420955 0.00170557 1 1
CSI_0911_R 30.312 0.0242533 0.23567 0.00934341 1 0
CSI_0911_L 37.3453 0.011143 0.28648 0.00449585 1 1
CSI_0912_R 29.7008 0.0413224 0.331928 0.0229216 1 0
CSI_0912_L 37.1758 0.00405361 0.376596 0.00389814 1 1
CSI_0913_R 27.2928 0.0411698 0.362385 0.0254627 1 0
CSI_0913_L 33.2136 0.0447412 0.53002 0.0553706 1 0
CSI_0914_R 27.3228 0.0201971 0.187496 0.0211495 1 -1
CSI_0914_L 36.6782 0.0528301 0.468116 0.0383876 1 0
CSI_0915_R 27.3228 0.0201971 0.187496 0.0211495 1 -1
CSI_0915_L 35.1984 0.0124567 0.296036 0.00921826 1 1
CSI_0916_R 17.2736 0.0250399 0.269883 0.0123786 1 0
CSI_0916_L 0.5 386.61 1 1.36241 9.19786e-17 -2
CSI_0917_R 25.3302 0.017691 0.171633 0.0176773 1 -1
CSI_0917_L 33.0697 0.0216551 0.596177 0.0903104 1 0
CSI_0918_R 23.9871 0.0801541 0.583194 2.80672 1 0
CSI_0918_L 30.8338 0.010862 0.302789 0.00980719 1 1
CSI_0919_R 24.306 0.81709 0.410953 0.529338 1 0
CSI_0919_L 30.2107 0.0433008 0.522207 0.053525 1 0
CSI_0920_R 23.7107 0.199168 0.239337 0.0821672 1 0
CSI_0920_L 31.1656 0.0391634 0.550399 0.0647655 1 0
CSI_0921_R 22.2848 0.0248771 0.259336 0.0113798 1 0
CSI_0921_L 28.9826 0.102083 0.596007 2.90006 1 0
CSI_0922_R 21.3273 0.0132878 0.149653 0.0113569 1 -1
CSI_0922_L 26.3088 0.958852 0.425701 0.630007 1 0
CSI_0923_R 18.3248 0.0101403 0.13135 0.00747215 1 -1
CSI_0923_L 24.7014 0.0433921 0.387765 0.0281581 1 0
CSI_0924_R 19.3404 0.0114521 0.133414 0.00942887 1 -1
CSI_0924_L 26.1696 0.037908 0.533832 0.0593849 1 0
CSI_1001_R 23.7248 0.0346741 0.321829 0.020277 1 0
CSI_1001_L 36.0561 0.0057797 0.315416 0.0158153 1 1
CSI_1002_R 32.6968 0.0400566 0.31649 0.0209145 1 0
CSI_1002_L 44.7592 0.576707 0.559998 0.652911 1 0
CSI_1003_R 31.3204 0.0258742 0.214203 0.0306034 1 -1
CSI_1003_L 42.1271 0.0031251 0.424639 0.00375357 1 1
CSI_1004_R 32.3245 0.0273563 0.217984 0.0337179 1 -1
CSI_1004_L 42.131 0.00339539 0.394315 0.00422129 1 1
CSI_1005_R 31.3204 0.0258742 0.214203 0.0306034 1 -1
CSI_1005_L 40.5933 0.00377987 0.4182 0.00179177 1 1
CSI_1006_R 33.361 0.0253752 0.205449 0.00894204 1 0
CSI_1006_L 44.9296 0.00695264 0.312115 0.0151361 1 1
CSI_1007_R 32.3019 0.0496987 0.464334 0.0381783 1 0
CSI_1007_L 40.6282 0.0036542 0.454808 0.00200053 1 1
CSI_1008_R 31.3114 0.0251184 0.239607 0.00981976 1 0
CSI_1008_L 41.9441 0.543927 0.633808 3.26713 1 0
CSI_1009_R 29.3189 0.702973 0.427889 0.460488 1 0
CSI_1009_L 41.0227 0.00984545 0.637536 0.113401 1 0
CSI_1010_R 30.3204 0.0243534 0.207655 0.027916 1 -1
CSI_1010_L 41.1725 0.0445711 0.582926 0.0749628 1 0
CSI_1011_R 31.2938 7538.08 0.269475 1.90391 3.59084 0
CSI_1011_L 42.4534 0.00378525 0.507865 0.00220219 1 1
CSI_1012_R 30.3201 0.0195893 0.210399 0.00712073 1 0
CSI_1012_L 41.0885 0.0288751 0.619942 0.0994434 1 0
CSI_1013_R 26.3282 0.0189 0.178503 0.0194293 1 -1
CSI_1013_L 39.5582 0.00485442 0.346576 0.0017888 1 1
CSI_1014_R 25.0956 0.0257979 0.564055 0.0750608 1 0
CSI_1014_L 35.89 0.00347636 0.510433 0.00360033 1 1
CSI_1015_R 28.1752 0.0391945 0.536412 0.0597644 1 0
