###########################################################
#$Id: pied_chiosi_e416a.dat,v 1.1 2006/03/20 01:13:45 franklan Exp $
#Piédestaux pour ChIo/Si, manip E416a
#Extraits du run 1000
#Chaque spectre fitté avec une gaussienne
#Format du fichier:
# nom_du_parametre moyenne erreur_sur_moyenne largeur erreur_sur_moyenne chi_square NDF
###########################################################
#CI_1219_PG 0.711966 0.0122559 0.250851 0.00536409 96 4
CI_1221_GG 52.4374 0.285194 31.9404 0.227476 1017.73 160
#gros pic a zero
#CI_1221_PG 0.564718 0.00168523 0.0323044 0.000846588 14 0
CI_1223_GG 40.4852 0.365962 32.0299 0.265215 1988.35 147
#gros pic a zero
#CI_1223_PG 0.649411 0.00934034 0.11594 0.00733711 125 2
#rien mesuré, zero tout le temps
#CI_1601_GG 0.5 369.691 1 1.36241 2.37423e-16 -2
#CI_1601_PG 0.5 369.691 1 1.36241 2.37423e-16 -2
#CI_1602_GG 0.5 369.691 1 1.36241 2.37423e-16 -2
#CI_1602_PG 0.5 369.691 1 1.36241 2.37423e-16 -2
#CI_1603_GG 0.5 369.691 1 1.36241 2.37423e-16 -2
#CI_1603_PG 0.5 369.691 1 1.36241 2.37423e-16 -2
SI75_10_GG 21.1998 0.0104944 1.48494 0.00740006 2.59338 10
SI75_10_PG 34.6366 0.00438165 0.614999 0.00284086 11.0607 3
SILI_10_GG 20.2549 0.0103372 1.46254 0.0072182 7.19295 10
SILI_10_PG 35.1397 0.0042617 0.606457 0.00311371 1.95937 3
SI75_11_GG 10.985 0.0101694 1.43496 0.00724573 13.7192 9
SI75_11_PG 36.2545 0.00432266 0.606281 0.00292126 52.788 3
SILI_11_GG 12.8122 0.0105362 1.49004 0.0075651 8.34932 10
SILI_11_PG 34.7546 0.00441047 0.619142 0.0029632 20.0396 3
SI75_12_GG 16.0872 0.0108001 1.52622 0.00759361 12.3297 11
SI75_12_PG 34.1818 0.00434703 0.612938 0.00321086 37.5824 4
SILI_12_GG 16.1213 0.0103039 1.45125 0.00669467 38.6412 10
SILI_12_PG 34.0644 0.00429294 0.61172 0.00312472 11.5066 4
#gros pic a zero
#SI75_13_GG 0.622171 0.00566045 0.0816069 0.0038276 95 0
SI75_13_PG 33.8057 0.00437301 0.610393 0.00305382 36.3849 3
SILI_13_GG 7.28637 0.0105837 1.49798 0.00765834 8.0196 12
SILI_13_PG 33.3561 0.00434028 0.609855 0.00285096 18.1337 3
#large pic a zero
#SI75_14_GG 1.14772 0.0293399 1.66608 0.014528 178.587 5
SI75_14_PG 32.9587 0.00422395 0.602803 0.0030929 14.0321 3
SILI_14_GG 11.4381 0.0103759 1.46735 0.0071877 9.40175 10
SILI_14_PG 32.6146 0.00440825 0.619541 0.00288251 6.74759 3
#large pic a zero
#SI75_15_GG 0.863443 0.0367857 1.71081 0.0178079 165.526 4
SI75_15_PG 32.8517 0.00427256 0.607845 0.00306823 4.45773 3
SILI_15_GG 18.6269 0.0101743 1.43804 0.00711922 9.12827 11
SILI_15_PG 30.8972 0.00435587 0.620186 0.00313851 3.19363 4
SI75_16_GG 7.12196 0.0104789 1.4829 0.0074873 15.0019 11
SI75_16_PG 32.0364 0.00425915 0.606751 0.00315264 10.7857 4
SILI_16_GG 10.7229 0.0108493 1.53476 0.00767007 7.91618 11
SILI_16_PG 31.6051 0.00443735 0.62274 0.00291157 9.40399 3
#un pic a zero, le fit n'est pas correct
#SI75_17_GG -2.33442 0.205632 2.26391 0.0507876 224.901 4
SI75_17_PG 32.17 0.00429027 0.609909 0.00294228 14.9702 4
SILI_17_GG 27.969 0.00902687 1.27704 0.00627082 3.96742 8
SILI_17_PG 32.7842 0.00438538 0.620635 0.00310246 2.10606 3
