SILI_10  2.907  0.06853  
CI_1213  -4.53452  0.0682923  0
CI_1214  -3.02651  0.0675601  0
CI_1215  -3.29148  0.0687429  0
CI_1216  -3.36551  0.0688577  0
CI_1217  -4.00801  0.068123  0
CI_1218  -0.378361  0.0666639  0
CI_1219  -4.04369  0.0684083  0
CI_1220  -3.53837  0.06772  0
CI_1221  -4.12727  0.0680171  0
CI_1222  -4.06845  0.0677234  0
CI_1223  -3.55857  0.0676451  0
CI_1224  -2.68085  0.0672096  0
CI_1301  -4.6778  0.0675383  0
CI_1302  -1.22666  0.0667973  0
CI_1303  -2.6829  0.0667885  0
CI_1304  -3.33206  0.0687008  0
CI_1305  -3.86507  0.0691037  0
CI_1306  -3.78824  0.068537  0
CI_1307  -3.05522  0.0666459  0
CI_1308  -3.82633  0.0676352  0
CI_1309  -1.65015  0.0659904  0
CI_1310  -3.78907  0.0672177  0
CI_1311  -2.49962  0.0674299  0
CI_1312  0.0333072  0.0657498  0
CI_1313  -3.91158  0.0675178  0
CI_1314  -5.51371  0.0679328  0
CI_1315  -1.60399  0.0668716  0
CI_1316  -3.59336  0.0673776  0
CI_1317  -3.47453  0.0693987  0
CI_1318  -3.38263  0.0671959  0
CI_1319  2.54703  0.0672775  0
CI_1320  6.35599  0.0661724  0
CI_1321  3.77942  0.0673593  0
CI_1322  -2.42677  0.067934  0
CI_1323  -1.25551  0.0677024  0
CI_1324  -2.37719  0.0678734  0
CI_1401  -3.01019  0.0681197  0
CI_1402  -3.02463  0.0685862  0
CI_1403  -4.32097  0.0684037  0
CI_1404  -4.00984  0.0675056  0
CI_1405  -1.3132  0.0644614  0
CI_1406  -9.66552  0.0635462  0
CI_1407  -3.77649  0.0685817  0
CI_1408  -3.51617  0.0679301  0
CI_1409  -3.6113  0.0665384  0
CI_1410  -5.06367  0.0705069  0
CI_1411  -5.93636  0.0676406  0
CI_1412  -5.84341  0.0687951  0
CI_1413  -0.649242  0.0675284  0
CI_1414  -1.47238  0.0675601  0
CI_1415  -6.50892  0.068475  0
CI_1416  -7.07954  0.0691591  0
CI_1501  -3.12884  0.0689503  0
CI_1502  -2.84227  0.0680294  0
CI_1503  -3.72368  0.0676903  0
CI_1504  -3.13099  0.0667481  0
CI_1505  -4.00395  0.06824  0
CI_1506  -4.84275  0.0681208  0
CI_1507  -3.96615  0.0689557  0
CI_1508  -2.75861  0.0681442  0
CI_1509  -3.84771  0.0684804  0
CI_1510  -4.50433  0.0683736  0
CI_1511  -7.81885  0.070309  0
CI_1512  -10.267  0.0690296  0
CI_1513  -1.78242  0.068249  0
CI_1514  -2.14962  0.07016  0
CI_1515  -5.75496  0.0671153  0
CI_1516  -5.9388  0.068979  0
