# ASCII file generated by KVIDZAGrid::WriteToAsciiFile
# ID Graph Name : ID_SI1_SI2_111
# This file can be read using KVIDZAGrid::ReadFromAsciiFile
# 
++KVIDZAGrid
<NAME> ID_SI1_SI2_111
<VARX> Q2Amplitude
<VARY> QH1Amplitude
<PARAMETER> IDTelescopes=ID_SI1_SI2_111
<PARAMETER> Runlist=12-43
+KVIDZALine
ID:Z=1 A=1
538.775   227.069
558.754   222.293
578.89   217.669
599.199   213.192
619.689   208.851
639.968   204.641
+KVIDZALine
ID:Z=6 A=12
6	12
30
0.465289   498.547
37.1982   470.767
73.1906   444.321
104.107   423.257
131.982   405.505
157.841   390.028
182.269   376.23
205.638   363.736
228.205   352.291
250.151   341.71
271.614   331.861
292.703   322.636
313.5   313.956
334.077   305.756
354.489   297.979
374.788   290.586
395.012   283.534
415.196   276.794
435.378   270.34
455.586   264.146
475.838   258.193
496.161   252.465
516.582   246.943
537.113   241.614
557.778   236.466
578.591   231.489
599.567   226.671
620.727   222.003
642.08   217.476
663.437   213.087
+KVIDZALine
ID:Z=6 A=13
6	13
30
0.483131   514.39
37.0886   487.109
73.9282   460.17
105.741   438.578
134.492   420.327
161.199   404.384
186.451   390.155
210.628   377.255
233.984   365.432
256.712   354.495
278.944   344.308
300.796   334.763
322.354   325.778
343.686   317.286
364.853   309.231
385.907   301.568
406.882   294.258
427.826   287.271
448.771   280.576
469.74   274.153
490.76   267.976
511.862   262.031
533.061   256.3
554.38   250.768
575.84   245.422
597.455   240.252
619.244   235.247
641.221   230.398
663.407   225.695
685.539   221.131
+KVIDZALine
ID:Z=6 A=14
6	14
30
0.506922   529.376
36.9443   502.617
74.553   475.253
107.203   453.175
136.778   434.46
164.287   418.083
190.323   403.448
215.266   390.169
239.377   377.989
262.846   366.715
285.816   356.208
308.398   346.361
330.681   337.086
352.737   328.316
374.627   319.996
396.4   312.079
418.104   304.524
439.774   297.301
461.446   290.379
483.15   283.734
504.912   277.344
526.755   271.193
548.707   265.261
570.783   259.534
593.009   254.001
615.396   248.646
637.97   243.463
660.74   238.439
683.723   233.568
706.486   228.839
+KVIDZALine
ID:Z=7 A=12
7	12
30
0.438438   594.622
46.1982   559.5
89.6485   527.349
126.713   501.957
160.024   480.639
190.859   462.102
219.946   445.603
247.745   430.687
274.564   417.04
300.628   404.435
326.102   392.714
351.12   381.742
375.782   371.429
400.171   361.69
424.356   352.462
448.398   343.69
472.345   335.33
496.241   327.345
520.126   319.7
544.034   312.369
567.991   305.326
592.029   298.551
616.175   292.022
640.451   285.725
664.876   279.644
689.474   273.765
714.261   268.078
739.257   262.57
764.482   257.23
789.457   252.052
+KVIDZALine
ID:Z=7 A=13
7	13
30
0.458496   613.756
46.1304   579.164
90.6577   546.355
128.827   520.289
163.205   498.346
195.07   479.234
225.153   462.206
253.922   446.796
281.691   432.689
308.688   419.649
335.085   407.517
361.014   396.158
386.582   385.477
411.87   375.385
436.954   365.819
461.891   356.724
486.737   348.055
511.536   339.771
536.319   331.84
561.133   324.23
586.005   316.918
610.96   309.883
636.03   303.103
661.237   296.562
686.602   290.245
712.15   284.137
737.894   278.225
763.863   272.5
790.068   266.95
816.035   261.567
+KVIDZALine
ID:Z=7 A=14
7	14
30
0.48437   631.872
46.0009   597.851
91.5057   564.468
130.705   537.787
166.085   515.266
198.918   495.619
229.944   478.094
259.63   462.216
288.3   447.674
316.185   434.228
343.458   421.705
370.254   409.98
396.685   398.949
422.832   388.522
448.771   378.638
474.567   369.235
500.268   360.271
525.921   351.701
551.572   343.496
577.247   335.623
602.988   328.055
628.819   320.772
654.773   313.752
680.869   306.98
707.133   300.437
733.587   294.109
760.252   287.984
787.148   282.052
814.29   276.299
841.338   270.718
+KVIDZALine
ID:Z=7 A=15
7	15
30
0.515541   649.076
45.8318   615.657
92.2303   581.772
132.394   554.521
168.72   531.463
202.475   511.311
234.397   493.318
264.961   477.006
294.492   462.046
323.225   448.212
351.338   435.324
378.968   423.249
406.221   411.882
433.194   401.137
459.956   390.947
486.574   381.254
513.096   372.006
539.576   363.167
566.055   354.698
592.563   346.572
619.145   338.76
645.822   331.239
672.623   323.99
699.58   316.994
726.71   310.234
754.037   303.696
781.587   297.367
809.377   291.234
837.425   285.288
865.416   279.52
+KVIDZALine
ID:Z=7 A=16
7	16
30
0.551651   665.467
45.6264   632.674
92.839   598.353
133.907   570.581
171.128   547.014
205.755   526.391
238.531   507.958
269.929   491.231
300.283   475.884
329.827   461.676
358.741   448.438
387.167   436.032
415.215   424.348
442.976   413.299
470.525   402.818
497.932   392.841
525.246   383.327
552.518   374.226
579.793   365.507
607.105   357.139
634.487   349.091
661.979   341.345
689.598   333.875
717.378   326.665
745.344   319.697
773.515   312.956
801.917   306.432
830.567   300.107
859.486   293.975
888.443   288.023
+KVIDZALine
ID:Z=8 A=14
8	14
30
0.49402   735.232
54.757   694.325
108.01   655.121
153.729   623.905
194.927   597.611
233.123   574.695
269.19   554.275
303.681   535.793
336.975   518.866
369.344   503.228
400.993   488.671
432.08   475.045
462.732   462.233
493.051   450.127
523.122   438.652
553.022   427.744
582.804   417.345
612.528   407.41
642.241   397.894
671.986   388.77
701.798   380.003
731.712   371.566
761.758   363.438
791.97   355.597
822.374   348.023
852.99   340.702
883.851   333.618
914.973   326.756
946.379   320.106
977.853   313.655
+KVIDZALine
ID:Z=8 A=15
8	15
30
0.532454   755.385
54.6076   715.135
108.936   675.306
155.794   643.411
198.108   616.474
237.385   592.961
274.501   571.989
310.017   552.99
344.317   535.577
377.678   519.481
410.303   504.496
442.362   490.455
473.978   477.251
505.255   464.77
536.284   452.938
567.136   441.686
597.88   430.957
628.564   420.704
659.239   410.882
689.948   401.465
720.732   392.409
751.629   383.695
782.664   375.299
813.872   367.197
845.28   359.371
876.912   351.804
908.795   344.481
940.955   337.386
973.409   330.509
1005.96   323.839
+KVIDZALine
ID:Z=8 A=16
8	16
30
0.687848   774.575
54.7745   734.758
110.026   694.44
157.918   661.956
201.26   634.448
241.545   610.395
279.647   588.913
316.132   569.433
351.384   551.574
385.684   535.049
419.241   519.656
452.224   505.237
484.757   491.66
516.951   478.829
548.897   466.66
580.664   455.081
612.32   444.041
643.925   433.483
675.524   423.375
707.162   413.67
738.88   404.345
770.717   395.367
802.702   386.717
834.867   378.366
867.24   370.298
899.851   362.498
932.72   354.945
965.874   347.63
999.341   340.536
1032.83   333.653
+KVIDZALine
ID:Z=8 A=17
8	17
30
0.736484   792.927
54.5641   753.806
110.73   713
159.639   679.931
203.987   651.86
245.255   627.274
284.319   605.297
321.747   585.351
357.927   567.051
393.141   550.112
427.608   534.324
461.485   519.53
494.919   505.594
528.004   492.421
560.841   479.923
593.498   468.031
626.05   456.687
658.552   445.838
691.052   435.443
723.597   425.47
756.23   415.876
788.982   406.646
821.893   397.745
854.993   389.151
888.312   380.851
921.876   372.82
955.711   365.048
989.844   357.516
1024.3   350.214
1058.55   343.127
+KVIDZALine
ID:Z=8 A=18
8	18
30
0.402568   810.526
54.3179   772.101
111.315   730.87
161.175   697.269
206.475   668.664
248.678   643.583
288.661   621.136
326.986   600.749
364.054   582.029
400.145   564.696
435.478   548.532
470.218   533.379
504.507   519.1
538.45   505.602
572.141   492.789
605.659   480.595
639.07   468.956
672.433   457.827
705.795   447.165
739.21   436.923
772.719   427.08
806.357   417.598
840.158   408.46
874.156   399.634
908.382   391.107
942.863   382.861
977.625   374.873
1012.7   367.133
1048.1   359.626
1083.32   352.343
+KVIDCutLine
OK:Bragg_line
right
33
1.28684e-10   22.5783
3.75771e-08   29.9174
3.1869e-07   35.0723
0.01801   79.9892
0.031552   90.0672
0.0694688   106.088
0.0318635   169.533
0.0446739   180.363
0.059853   190.188
0.0774543   199.2
0.034894   251.747
0.0628315   278.307
0.080373   290.061
0.100401   301.008
0.0780662   376.473
0.0982854   390.84
0.12126   404.304
0.147077   416.977
0.104813   463.875
0.130586   481.798
0.159585   498.607
0.191886   514.443
0.227553   529.417
0.167299   594.67
0.200985   613.797
0.238162   631.906
0.278896   649.106
0.323244   665.489
0.282208   735.256
0.329515   755.404
0.380882   774.609
0.436362   792.96
0.496004   810.529
!
# ASCII file generated by KVIDZAGrid::WriteToAsciiFile
# ID Graph Name : ID_SI1_SI2_112
# This file can be read using KVIDZAGrid::ReadFromAsciiFile
# 
++KVIDZAGrid
<NAME> ID_SI1_SI2_112
<VARX> Q2Amplitude
<VARY> QH1Amplitude
<PARAMETER> IDTelescopes=ID_SI1_SI2_112
<PARAMETER> Runlist=12-43
+KVIDZALine
ID:Z=1 A=1
1	1
30
1.36841   21.9697
1.78169   21.6297
3.71214   20.1489
5.22734   19.0969
6.5499   18.2489
7.75703   17.5272
8.88682   16.8935
9.96145   16.3259
10.9952   15.8098
11.998   15.3354
12.9772   14.8957
