# DataSet LNS_2016
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/TEST-JUL2016
run=194 | starting date=Tue Jul 12 20:30:58 2016 | nfiles=10 | size(GB)=0.93
run=195 | starting date=Tue Jul 12 20:36:30 2016 | nfiles=10 | size(GB)=0.93
run=196 | starting date=Tue Jul 12 20:39:29 2016 | nfiles=10 | size(GB)=0.93
run=197 | starting date=Tue Jul 12 20:41:46 2016 | nfiles=10 | size(GB)=0.93
run=198 | starting date=Tue Jul 12 20:43:53 2016 | nfiles=10 | size(GB)=0.93
run=199 | starting date=Tue Jul 12 20:46:13 2016 | nfiles=10 | size(GB)=0.93
run=200 | starting date=Tue Jul 12 20:48:41 2016 | nfiles=10 | size(GB)=0.93
run=201 | starting date=Tue Jul 12 20:51:06 2016 | nfiles=10 | size(GB)=0.93
run=202 | starting date=Tue Jul 12 20:53:04 2016 | nfiles=10 | size(GB)=0.93
run=203 | starting date=Tue Jul 12 20:55:01 2016 | nfiles=10 | size(GB)=0.93
run=204 | starting date=Tue Jul 12 20:56:54 2016 | nfiles=10 | size(GB)=0.93
run=205 | starting date=Tue Jul 12 20:58:55 2016 | nfiles=10 | size(GB)=0.93
run=206 | starting date=Tue Jul 12 21:01:15 2016 | nfiles=10 | size(GB)=0.93
run=207 | starting date=Tue Jul 12 21:03:37 2016 | nfiles=10 | size(GB)=0.93
run=208 | starting date=Tue Jul 12 21:06:04 2016 | nfiles=10 | size(GB)=0.93
run=209 | starting date=Tue Jul 12 21:08:31 2016 | nfiles=10 | size(GB)=0.93
run=210 | starting date=Tue Jul 12 21:10:46 2016 | nfiles=10 | size(GB)=0.93
run=211 | starting date=Tue Jul 12 21:13:03 2016 | nfiles=10 | size(GB)=0.93
run=212 | starting date=Tue Jul 12 21:15:24 2016 | nfiles=10 | size(GB)=0.93
run=213 | starting date=Tue Jul 12 21:17:53 2016 | nfiles=10 | size(GB)=0.93
run=214 | starting date=Tue Jul 12 21:20:22 2016 | nfiles=10 | size(GB)=0.93
run=215 | starting date=Tue Jul 12 21:22:54 2016 | nfiles=10 | size(GB)=0.93
run=216 | starting date=Tue Jul 12 21:25:27 2016 | nfiles=10 | size(GB)=0.93
run=217 | starting date=Tue Jul 12 21:27:56 2016 | nfiles=10 | size(GB)=0.93
run=218 | starting date=Tue Jul 12 21:30:17 2016 | nfiles=10 | size(GB)=0.93
run=219 | starting date=Tue Jul 12 21:32:34 2016 | nfiles=10 | size(GB)=0.93
