# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/FAZIASYM-Dec2015/
run=207 | starting date=Fri Dec 11 01:50:26 2015 | nfiles=20 | size(GB)=0.28
run=208 | starting date=Fri Dec 11 01:50:29 2015 | nfiles=20 | size(GB)=0.28
run=209 | starting date=Fri Dec 11 01:50:33 2015 | nfiles=20 | size(GB)=0.28
run=210 | starting date=Fri Dec 11 01:50:36 2015 | nfiles=20 | size(GB)=0.28
run=211 | starting date=Fri Dec 11 01:50:39 2015 | nfiles=20 | size(GB)=0.28
run=212 | starting date=Fri Dec 11 01:50:42 2015 | nfiles=20 | size(GB)=0.28
run=213 | starting date=Fri Dec 11 01:50:45 2015 | nfiles=20 | size(GB)=0.28
run=214 | starting date=Fri Dec 11 01:50:48 2015 | nfiles=20 | size(GB)=0.28
run=215 | starting date=Fri Dec 11 01:50:51 2015 | nfiles=20 | size(GB)=0.28
run=216 | starting date=Fri Dec 11 01:50:54 2015 | nfiles=20 | size(GB)=0.28
run=217 | starting date=Fri Dec 11 01:50:57 2015 | nfiles=20 | size(GB)=0.28
run=218 | starting date=Fri Dec 11 01:51:00 2015 | nfiles=20 | size(GB)=0.28
run=219 | starting date=Fri Dec 11 01:51:03 2015 | nfiles=20 | size(GB)=0.28
run=220 | starting date=Fri Dec 11 01:51:06 2015 | nfiles=20 | size(GB)=0.28
run=221 | starting date=Fri Dec 11 01:51:09 2015 | nfiles=20 | size(GB)=0.28
run=222 | starting date=Fri Dec 11 01:51:12 2015 | nfiles=20 | size(GB)=0.28
run=223 | starting date=Fri Dec 11 01:51:15 2015 | nfiles=20 | size(GB)=0.28
run=224 | starting date=Fri Dec 11 01:51:18 2015 | nfiles=20 | size(GB)=0.28
run=225 | starting date=Fri Dec 11 01:51:21 2015 | nfiles=20 | size(GB)=0.28
run=226 | starting date=Fri Dec 11 01:51:24 2015 | nfiles=20 | size(GB)=0.28
run=227 | starting date=Fri Dec 11 01:51:27 2015 | nfiles=20 | size(GB)=0.28
run=228 | starting date=Fri Dec 11 01:51:30 2015 | nfiles=20 | size(GB)=0.28
run=229 | starting date=Fri Dec 11 01:51:33 2015 | nfiles=20 | size(GB)=0.28
run=230 | starting date=Fri Dec 11 01:51:36 2015 | nfiles=20 | size(GB)=0.28
run=231 | starting date=Fri Dec 11 01:51:39 2015 | nfiles=20 | size(GB)=0.28
run=232 | starting date=Fri Dec 11 01:51:42 2015 | nfiles=20 | size(GB)=0.28
run=233 | starting date=Fri Dec 11 01:51:45 2015 | nfiles=20 | size(GB)=0.28
run=234 | starting date=Fri Dec 11 01:51:48 2015 | nfiles=20 | size(GB)=0.28
run=235 | starting date=Fri Dec 11 01:51:51 2015 | nfiles=20 | size(GB)=0.28
run=236 | starting date=Fri Dec 11 01:51:54 2015 | nfiles=20 | size(GB)=0.28
run=237 | starting date=Fri Dec 11 01:51:57 2015 | nfiles=20 | size(GB)=0.28
run=238 | starting date=Fri Dec 11 01:52:00 2015 | nfiles=20 | size(GB)=0.28
run=239 | starting date=Fri Dec 11 01:52:03 2015 | nfiles=20 | size(GB)=0.28
run=240 | starting date=Fri Dec 11 01:52:06 2015 | nfiles=20 | size(GB)=0.28
run=241 | starting date=Fri Dec 11 01:52:09 2015 | nfiles=20 | size(GB)=0.28
run=242 | starting date=Fri Dec 11 01:52:12 2015 | nfiles=20 | size(GB)=0.28
run=243 | starting date=Fri Dec 11 01:52:15 2015 | nfiles=20 | size(GB)=0.28
run=244 | starting date=Fri Dec 11 01:52:18 2015 | nfiles=20 | size(GB)=0.28
run=245 | starting date=Fri Dec 11 01:52:21 2015 | nfiles=20 | size(GB)=0.28
run=246 | starting date=Fri Dec 11 01:52:24 2015 | nfiles=20 | size(GB)=0.28
run=247 | starting date=Fri Dec 11 01:52:27 2015 | nfiles=20 | size(GB)=0.28
run=248 | starting date=Fri Dec 11 01:52:30 2015 | nfiles=20 | size(GB)=0.28
run=249 | starting date=Fri Dec 11 01:52:33 2015 | nfiles=20 | size(GB)=0.28
run=250 | starting date=Fri Dec 11 01:52:36 2015 | nfiles=20 | size(GB)=0.28
run=251 | starting date=Fri Dec 11 01:52:39 2015 | nfiles=20 | size(GB)=0.28
run=252 | starting date=Fri Dec 11 01:52:42 2015 | nfiles=20 | size(GB)=0.28
run=253 | starting date=Fri Dec 11 01:52:45 2015 | nfiles=20 | size(GB)=0.28
run=254 | starting date=Fri Dec 11 01:52:48 2015 | nfiles=20 | size(GB)=0.28
run=255 | starting date=Fri Dec 11 01:52:51 2015 | nfiles=20 | size(GB)=0.28
run=256 | starting date=Fri Dec 11 01:52:54 2015 | nfiles=20 | size(GB)=0.28
run=257 | starting date=Fri Dec 11 01:52:57 2015 | nfiles=20 | size(GB)=0.28
run=258 | starting date=Fri Dec 11 01:53:00 2015 | nfiles=20 | size(GB)=0.28
run=259 | starting date=Fri Dec 11 01:53:03 2015 | nfiles=20 | size(GB)=0.28
run=260 | starting date=Fri Dec 11 01:53:06 2015 | nfiles=20 | size(GB)=0.28
run=261 | starting date=Fri Dec 11 01:53:09 2015 | nfiles=20 | size(GB)=0.28
run=262 | starting date=Fri Dec 11 01:53:12 2015 | nfiles=20 | size(GB)=0.28
run=263 | starting date=Fri Dec 11 01:53:15 2015 | nfiles=20 | size(GB)=0.28
run=264 | starting date=Fri Dec 11 01:53:18 2015 | nfiles=20 | size(GB)=0.28
run=265 | starting date=Fri Dec 11 01:53:21 2015 | nfiles=20 | size(GB)=0.28
run=266 | starting date=Fri Dec 11 01:53:25 2015 | nfiles=20 | size(GB)=0.28
run=267 | starting date=Fri Dec 11 01:53:28 2015 | nfiles=20 | size(GB)=0.28
run=268 | starting date=Fri Dec 11 01:53:31 2015 | nfiles=20 | size(GB)=0.28
run=269 | starting date=Fri Dec 11 01:53:34 2015 | nfiles=20 | size(GB)=0.28
run=270 | starting date=Fri Dec 11 01:53:37 2015 | nfiles=20 | size(GB)=0.28
run=271 | starting date=Fri Dec 11 01:53:40 2015 | nfiles=20 | size(GB)=0.28
run=272 | starting date=Fri Dec 11 01:53:43 2015 | nfiles=20 | size(GB)=0.28
run=273 | starting date=Fri Dec 11 01:53:46 2015 | nfiles=20 | size(GB)=0.28
run=274 | starting date=Fri Dec 11 01:53:49 2015 | nfiles=20 | size(GB)=0.28
run=275 | starting date=Fri Dec 11 01:53:52 2015 | nfiles=20 | size(GB)=0.28
run=276 | starting date=Fri Dec 11 01:53:55 2015 | nfiles=20 | size(GB)=0.28
run=277 | starting date=Fri Dec 11 01:53:58 2015 | nfiles=20 | size(GB)=0.28
