run=155 | aqcuisition status=Running | starting date=Fri Dec 11 01:47:50 2015 | stopping date=Fri Dec 11 01:47:53 2015 | read events=10280 | good events=10280 | store events=10280 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2446.00 | duration=4.2 | trig info=1
run=156 | aqcuisition status=Running | starting date=Fri Dec 11 01:47:53 2015 | stopping date=Fri Dec 11 01:47:56 2015 | read events=10161 | good events=10161 | store events=10161 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2420.00 | duration=4.2 | trig info=0
run=157 | aqcuisition status=Running | starting date=Fri Dec 11 01:47:56 2015 | stopping date=Fri Dec 11 01:47:59 2015 | read events=10004 | good events=10004 | store events=10004 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2380.00 | duration=4.2 | trig info=0
run=158 | aqcuisition status=Running | starting date=Fri Dec 11 01:47:59 2015 | stopping date=Fri Dec 11 01:48:02 2015 | read events=9762 | good events=9762 | store events=9762 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2323.25 | duration=4.2 | trig info=0
run=159 | aqcuisition status=Running | starting date=Fri Dec 11 01:48:02 2015 | stopping date=Fri Dec 11 01:48:05 2015 | read events=9771 | good events=9770 | store events=9770 | wrong number of blocks=1 | block errors=0 | nfiles=20 | frequency=2320.00 | duration=4.2 | trig info=1
run=160 | aqcuisition status=Running | starting date=Fri Dec 11 01:48:05 2015 | stopping date=Fri Dec 11 01:48:08 2015 | read events=9802 | good events=9802 | store events=9802 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2327.50 | duration=4.2 | trig info=0
run=161 | aqcuisition status=Running | starting date=Fri Dec 11 01:48:08 2015 | stopping date=Fri Dec 11 01:48:11 2015 | read events=9861 | good events=9861 | store events=9861 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2343.25 | duration=4.2 | trig info=0
run=162 | aqcuisition status=Running | starting date=Fri Dec 11 01:48:11 2015 | stopping date=Fri Dec 11 01:48:14 2015 | read events=9787 | good events=9787 | store events=9787 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2328.50 | duration=4.2 | trig info=1
run=163 | aqcuisition status=Running | starting date=Fri Dec 11 01:48:14 2015 | stopping date=Fri Dec 11 01:48:17 2015 | read events=9588 | good events=9588 | store events=9588 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2280.50 | duration=4.2 | trig info=0
run=164 | aqcuisition status=Running | starting date=Fri Dec 11 01:48:17 2015 | stopping date=Fri Dec 11 01:48:20 2015 | read events=9506 | good events=9505 | store events=9505 | wrong number of blocks=1 | block errors=0 | nfiles=20 | frequency=2262.00 | duration=4.2 | trig info=0
run=165 | aqcuisition status=Running | starting date=Fri Dec 11 01:48:20 2015 | stopping date=Fri Dec 11 01:48:23 2015 | read events=9440 | good events=9440 | store events=9440 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2247.50 | duration=4.2 | trig info=1
run=166 | aqcuisition status=Running | starting date=Fri Dec 11 01:48:23 2015 | stopping date=Fri Dec 11 01:48:26 2015 | read events=9325 | good events=9325 | store events=9325 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2217.50 | duration=4.2 | trig info=0
run=167 | aqcuisition status=Running | starting date=Fri Dec 11 01:48:26 2015 | stopping date=Fri Dec 11 01:48:29 2015 | read events=9252 | good events=9252 | store events=9252 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2197.25 | duration=4.2 | trig info=0
run=168 | aqcuisition status=Running | starting date=Fri Dec 11 01:48:29 2015 | stopping date=Fri Dec 11 01:48:32 2015 | read events=9262 | good events=9262 | store events=9262 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2203.00 | duration=4.2 | trig info=0
run=169 | aqcuisition status=Running | starting date=Fri Dec 11 01:48:32 2015 | stopping date=Fri Dec 11 01:48:35 2015 | read events=9397 | good events=9397 | store events=9397 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2238.00 | duration=4.2 | trig info=1
run=170 | aqcuisition status=Running | starting date=Fri Dec 11 01:48:35 2015 | stopping date=Fri Dec 11 01:48:38 2015 | read events=9328 | good events=9327 | store events=9327 | wrong number of blocks=1 | block errors=0 | nfiles=20 | frequency=2221.25 | duration=4.2 | trig info=0
run=171 | aqcuisition status=Running | starting date=Fri Dec 11 01:48:38 2015 | stopping date=Fri Dec 11 01:48:41 2015 | read events=9616 | good events=9616 | store events=9616 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2292.75 | duration=4.2 | trig info=0
run=172 | aqcuisition status=Running | starting date=Fri Dec 11 01:48:41 2015 | stopping date=Fri Dec 11 01:48:44 2015 | read events=9047 | good events=9047 | store events=9047 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2154.00 | duration=4.2 | trig info=1
run=173 | aqcuisition status=Running | starting date=Fri Dec 11 01:48:44 2015 | stopping date=Fri Dec 11 01:48:47 2015 | read events=9185 | good events=9185 | store events=9185 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2184.00 | duration=4.2 | trig info=0
run=174 | aqcuisition status=Running | starting date=Fri Dec 11 01:48:47 2015 | stopping date=Fri Dec 11 01:48:50 2015 | read events=9059 | good events=9059 | store events=9059 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2152.75 | duration=4.2 | trig info=0
run=175 | aqcuisition status=Running | starting date=Fri Dec 11 01:48:50 2015 | stopping date=Fri Dec 11 01:48:53 2015 | read events=9111 | good events=9110 | store events=9110 | wrong number of blocks=1 | block errors=0 | nfiles=20 | frequency=2166.25 | duration=4.2 | trig info=1
run=176 | aqcuisition status=Running | starting date=Fri Dec 11 01:48:53 2015 | stopping date=Fri Dec 11 01:48:56 2015 | read events=9163 | good events=9163 | store events=9163 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2175.25 | duration=4.2 | trig info=0
run=177 | aqcuisition status=Running | starting date=Fri Dec 11 01:48:56 2015 | stopping date=Fri Dec 11 01:48:59 2015 | read events=9183 | good events=9183 | store events=9183 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2183.75 | duration=4.2 | trig info=0
run=178 | aqcuisition status=Running | starting date=Fri Dec 11 01:48:59 2015 | stopping date=Fri Dec 11 01:49:02 2015 | read events=9234 | good events=9234 | store events=9234 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2198.00 | duration=4.2 | trig info=0
run=179 | aqcuisition status=Running | starting date=Fri Dec 11 01:49:02 2015 | stopping date=Fri Dec 11 01:49:05 2015 | read events=9308 | good events=9308 | store events=9308 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2211.75 | duration=4.2 | trig info=1
run=180 | aqcuisition status=Running | starting date=Fri Dec 11 01:49:05 2015 | stopping date=Fri Dec 11 01:49:08 2015 | read events=9350 | good events=9349 | store events=9349 | wrong number of blocks=1 | block errors=0 | nfiles=20 | frequency=2224.25 | duration=4.2 | trig info=0
run=181 | aqcuisition status=Running | starting date=Fri Dec 11 01:49:08 2015 | stopping date=Fri Dec 11 01:49:11 2015 | read events=9469 | good events=9469 | store events=9469 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2253.75 | duration=4.2 | trig info=0
run=182 | aqcuisition status=Running | starting date=Fri Dec 11 01:49:11 2015 | stopping date=Fri Dec 11 01:49:14 2015 | read events=9607 | good events=9607 | store events=9607 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2289.25 | duration=4.2 | trig info=1
run=183 | aqcuisition status=Running | starting date=Fri Dec 11 01:49:14 2015 | stopping date=Fri Dec 11 01:49:17 2015 | read events=9389 | good events=9389 | store events=9389 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2231.25 | duration=4.2 | trig info=0
run=184 | aqcuisition status=Running | starting date=Fri Dec 11 01:49:17 2015 | stopping date=Fri Dec 11 01:49:20 2015 | read events=9293 | good events=9293 | store events=9293 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2211.25 | duration=4.2 | trig info=0
