Run=7161 | Nfiles=4 | Events=28908 | Trigger=1 | Nparse=28908 | Start Date=Thu Dec 11 05:35:34 2014 | ACQ=RUN | Comments=
Run=7162 | Nfiles=4 | Events=28989 | Trigger=1 | Nparse=28989 | Start Date=Thu Dec 11 05:37:58 2014 | ACQ=RUN | Comments=
Run=7163 | Nfiles=4 | Events=28982 | Trigger=1 | Nparse=28982 | Start Date=Thu Dec 11 05:40:25 2014 | ACQ=RUN | Comments=
Run=7164 | Nfiles=4 | Events=28928 | Trigger=1 | Nparse=28928 | Start Date=Thu Dec 11 05:42:51 2014 | ACQ=RUN | Comments=
Run=7165 | Nfiles=4 | Events=28993 | Trigger=1 | Nparse=28993 | Start Date=Thu Dec 11 05:45:21 2014 | ACQ=RUN | Comments=
Run=7166 | Nfiles=4 | Events=28925 | Trigger=1 | Nparse=28925 | Start Date=Thu Dec 11 05:47:47 2014 | ACQ=RUN | Comments=
Run=7167 | Nfiles=4 | Events=28973 | Trigger=1 | Nparse=28973 | Start Date=Thu Dec 11 05:50:12 2014 | ACQ=RUN | Comments=
Run=7168 | Nfiles=4 | Events=28966 | Trigger=1 | Nparse=28966 | Start Date=Thu Dec 11 05:52:36 2014 | ACQ=RUN | Comments=
Run=7169 | Nfiles=4 | Events=28968 | Trigger=1 | Nparse=28968 | Start Date=Thu Dec 11 05:54:59 2014 | ACQ=RUN | Comments=
Run=7170 | Nfiles=4 | Events=28987 | Trigger=1 | Nparse=28987 | Start Date=Thu Dec 11 05:57:21 2014 | ACQ=RUN | Comments=
Run=7171 | Nfiles=2 | Events=9924 | Trigger=1 | Nparse=9924 | Start Date=Thu Dec 11 05:59:46 2014 | ACQ=RUN | Comments=
Run=7172 | Nfiles=4 | Events=28949 | Trigger=1 | Nparse=28949 | Start Date=Thu Dec 11 06:12:07 2014 | ACQ=START | Comments=
Run=7173 | Nfiles=4 | Events=28971 | Trigger=1 | Nparse=28971 | Start Date=Thu Dec 11 06:14:53 2014 | ACQ=RUN | Comments=
Run=7174 | Nfiles=4 | Events=28984 | Trigger=1 | Nparse=28984 | Start Date=Thu Dec 11 06:17:28 2014 | ACQ=RUN | Comments=
Run=7175 | Nfiles=4 | Events=28965 | Trigger=1 | Nparse=28965 | Start Date=Thu Dec 11 06:20:02 2014 | ACQ=RUN | Comments=
Run=7176 | Nfiles=4 | Events=28982 | Trigger=1 | Nparse=28982 | Start Date=Thu Dec 11 06:22:34 2014 | ACQ=RUN | Comments=
Run=7177 | Nfiles=4 | Events=28992 | Trigger=1 | Nparse=28992 | Start Date=Thu Dec 11 06:25:06 2014 | ACQ=RUN | Comments=
Run=7178 | Nfiles=4 | Events=28961 | Trigger=1 | Nparse=28961 | Start Date=Thu Dec 11 06:27:38 2014 | ACQ=RUN | Comments=
Run=7179 | Nfiles=4 | Events=28954 | Trigger=1 | Nparse=28954 | Start Date=Thu Dec 11 06:32:35 2014 | ACQ=RUN | Comments=
