# DataSet FAZIAPRE
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/FAZIAPRE-FEB2018/
run=90 | starting date=Tue Feb  6 02:49:26 2018 | nfiles=10 | size(GB)=0.93
run=91 | starting date=Tue Feb  6 02:51:11 2018 | nfiles=10 | size(GB)=0.93
run=92 | starting date=Tue Feb  6 02:52:54 2018 | nfiles=10 | size(GB)=0.93
run=93 | starting date=Tue Feb  6 02:54:36 2018 | nfiles=10 | size(GB)=0.93
run=94 | starting date=Tue Feb  6 02:56:09 2018 | nfiles=10 | size(GB)=0.93
run=95 | starting date=Tue Feb  6 02:57:51 2018 | nfiles=10 | size(GB)=0.93
run=96 | starting date=Tue Feb  6 02:59:31 2018 | nfiles=10 | size(GB)=0.93
run=97 | starting date=Tue Feb  6 03:01:10 2018 | nfiles=10 | size(GB)=0.93
run=98 | starting date=Tue Feb  6 03:02:50 2018 | nfiles=10 | size(GB)=0.90
run=99 | starting date=Tue Feb  6 03:14:05 2018 | nfiles=1 | size(GB)=0.02
run=100 | starting date=Tue Feb  6 03:57:04 2018 | nfiles=1 | size(GB)=0.01
run=101 | starting date=Tue Feb  6 04:26:33 2018 | nfiles=10 | size(GB)=0.93
run=102 | starting date=Tue Feb  6 04:28:04 2018 | nfiles=10 | size(GB)=0.93
run=103 | starting date=Tue Feb  6 04:29:45 2018 | nfiles=10 | size(GB)=0.94
run=104 | starting date=Tue Feb  6 04:30:38 2018 | nfiles=10 | size(GB)=0.94
run=105 | starting date=Tue Feb  6 04:31:33 2018 | nfiles=10 | size(GB)=0.93
run=106 | starting date=Tue Feb  6 04:34:00 2018 | nfiles=10 | size(GB)=0.93
run=107 | starting date=Tue Feb  6 04:37:07 2018 | nfiles=10 | size(GB)=0.93
run=108 | starting date=Tue Feb  6 04:40:12 2018 | nfiles=10 | size(GB)=0.93
run=109 | starting date=Tue Feb  6 04:43:38 2018 | nfiles=3 | size(GB)=0.20
run=110 | starting date=Tue Feb  6 04:50:00 2018 | nfiles=10 | size(GB)=0.93
run=111 | starting date=Tue Feb  6 04:54:25 2018 | nfiles=10 | size(GB)=0.93
