RunRange: 113-531
SI_0823_PG: 83.6895
SI_0824_GG: 96.3655
SI_0824_PG: 82.8717
SI_0901_GG: 69.8748
SI_0901_PG: 83.4184
SI_0902_GG: 64.5783
SI_0902_PG: 85.4828
SI_0903_GG: 61.4379
SI_0903_PG: 82.9003
SI_0904_GG: 69.0615
SI_0904_PG: 83.2494
SI_0905_GG: 64.9873
SI_0905_PG: 84.5032
SI_0906_GG: 72.8432
SI_0906_PG: 84.271
SI_0907_GG: 59.2401
SI_0907_PG: 81.3572
SI_0908_GG: 65.5497
SI_0908_PG: 84.5928
SI_0909_GG: 70.4242
SI_0909_PG: 84.4952
SI_0910_GG: 73.3344
SI_0910_PG: 84.0752
SI_0911_GG: 69.1133
SI_0911_PG: 84.1785
SI_0912_GG: 76.2244
SI_0912_PG: 83.832
SI_0913_GG: 70.7106
SI_0913_PG: 81.725
SI_0914_GG: 76.8362
SI_0914_PG: 81.967
SI_0915_GG: 61.874
SI_0915_PG: 80.3534
SI_0916_GG: 72.8432
SI_0916_PG: 81.0035
SI_0917_GG: 106.282
SI_0917_PG: 80.4736
SI_0918_GG: 99.4033
SI_0918_PG: 84.1792
SI_0919_GG: 113.92
SI_0919_PG: 78.4098
SI_0920_GG: 115.67
SI_0920_PG: 82.7472
SI_0921_GG: 112.358
SI_0921_PG: 84.2657
SI_0922_GG: 79.5241
SI_0922_PG: 84.2887
SI_0923_GG: 123.19
SI_0923_PG: 80.1137
SI_0924_GG: 114.073
SI_0924_PG: 86.2141
