// PACE2_2009.DATA
//Mass Excess in MeV
//This is the same as pace2_2001.data except the format is much simpler to read :)
//------
//Each line is:
//z a massexcess
//------
//
47 117 -82.2479
47 118 -79.5808
47 119 -78.5695
47 120 -75.7669
47 121 -74.4908
48 100 -74.1071
48 101 -75.6913
48 102 -79.6026
48 103 -80.6194
48 104 -83.9904
48 105 -84.3369
48 106 -87.1315
48 107 -86.9901
48 108 -89.2596
48 109 -88.5352
48 110 -90.3503
48 111 -89.2541
48 112 -90.581
48 113 -89.0513
48 114 -90.023
48 115 -88.0948
48 116 -88.7217
48 117 -86.4179
48 118 -86.7108
48 119 -83.9395
48 120 -83.9769
48 121 -80.8808
48 122 -80.5773
49 101 -69.3618
49 102 -70.4226
49 103 -74.4194
49 104 -75.9904
49 105 -79.5369
49 106 -80.5865
49 107 -83.5701
49 108 -84.1296
49 109 -86.5056
49 110 -86.4103
49 111 -88.3913
49 112 -87.9931
49 113 -89.3676
49 114 -88.5708
49 115 -89.5357
49 116 -88.2486
49 117 -88.943
49 118 -87.4513
49 119 -87.7295
49 120 -85.8012
49 121 -85.8408
49 122 -83.5773
49 123 -83.4213
49 124 -80.6314
49 125 -80.4212
49 126 -77.9036
49 127 -77.0098
49 128 -73.9594
49 129 -73.0279
49 130 -69.9851
49 131 -68.5483
50 102 -64.9026
50 103 -67.0194
50 104 -71.5904
50 105 -73.2747
50 106 -77.2865
50 107 -78.3901
50 108 -82.0816
50 109 -82.6292
50 110 -85.8301
50 111 -85.9393
50 112 -88.6542
50 113 -88.3284
50 114 -90.5568
50 115 -90.0315
50 116 -91.5228
50 117 -90.3962
50 118 -91.6513
50 119 -90.0653
50 120 -91.1012
50 121 -89.2012
50 122 -89.9459
50 123 -87.8208
50 124 -88.24
50 125 -85.9012
50 126 -86.0236
50 127 -83.4998
50 128 -83.3094
50 129 -80.6279
50 130 -80.1851
50 131 -77.3683
50 132 -76.6045
51 104 -59.2904
51 105 -64.0369
51 106 -66.3865
51 107 -70.6701
51 108 -72.6296
51 109 -76.2492
51 110 -77.4301
51 111 -80.7393
51 112 -81.5942
51 113 -84.4392
51 114 -84.4641
51 115 -87.0015
51 116 -86.8162
51 117 -88.6403
51 118 -87.9947
51 119 -89.472
51 120 -88.4206
51 121 -89.5888
51 122 -88.3238
51 123 -89.2191
51 124 -87.6152
51 125 -88.2535
51 126 -86.4016
51 127 -86.7008
51 128 -84.5994
51 129 -84.6279
51 130 -82.3251
51 131 -82.0133
51 132 -79.6845
51 133 -78.9853
51 134 -74.0047
52 106 -58.155
52 107 -60.6123
52 108 -65.7384
52 109 -67.6526
52 110 -72.1384
52 111 -73.4711
52 112 -77.3419
52 113 -78.3392
52 114 -81.7641
52 115 -82.2515
52 116 -85.2562
52 117 -85.1103
52 118 -87.6454
52 119 -87.178
52 120 -89.3785
52 121 -88.5401
52 122 -90.3053
52 123 -89.167
52 124 -90.5201
52 125 -89.0204
52 126 -90.0628
52 127 -88.2818
52 128 -88.9894
52 129 -87.0049
52 130 -87.3451
52 131 -85.2033
52 132 -85.2145
52 133 -82.9353
52 134 -82.4147
52 135 -77.8409
52 136 -74.4111
53 108 -52.7655
53 109 -57.8122
53 110 -60.3874
53 111 -64.9751
53 112 -67.2177
53 113 -71.1184
53 114 -72.8641
53 115 -76.3015
53 116 -77.4962
53 117 -80.8003
53 118 -81.2454
53 119 -83.808
53 120 -83.9785
53 121 -86.2614
53 122 -86.0713
53 123 -87.9355
53 124 -87.3631
53 125 -88.8422
53 126 -87.907
53 127 -88.9784
53 128 -87.7327
53 129 -88.504
53 130 -86.8969
53 131 -87.4523
53 132 -85.7075
53 133 -85.9066
53 134 -83.9747
53 135 -83.8009
53 136 -79.5061
53 137 -76.5002
53 138 -72.3423
53 139 -68.8814
54 110 -51.8519
54 111 -54.4837
54 112 -59.9948
54 113 -62.1329
54 114 -66.9135
54 115 -68.6751
54 116 -72.9962
54 117 -74.3672
54 118 -78.0454
54 119 -78.818
54 120 -82.0285
54 121 -82.4589
54 122 -85.3445
54 123 -85.2568
54 124 -87.4627
54 125 -87.1595
54 126 -89.1578
54 127 -88.3148
