######## Name of Calibrator
<NAME> Piedestal
######## List of runs where the following parameters
######## are valid. If it is 0 it means that the entire run range
######## of the dataset is concerned
######## You can define any run range number as you need
<RUNLIST> 2-68 70 90
######## Following columns
## Name of the Detector Signal FunctionDefinition:Parameters
<ITEM> CSI_0423_L pol0 26.8587
<ITEM> SI_0424_GG pol0 80.4095
<ITEM> SI_0424_PG pol0 81.6313
<ITEM> CSI_0424_R pol0 17.47
<ITEM> CSI_0424_L pol0 27.1951
<ITEM> SI_0501_GG pol0 101.622
<ITEM> SI_0501_PG pol0 81.5804
<ITEM> CSI_0501_R pol0 21.5188
<ITEM> CSI_0501_L pol0 46.3346
<ITEM> SI_0502_GG pol0 97.6336
<ITEM> SI_0502_PG pol0 81.6303
<ITEM> CSI_0502_R pol0 26.2573
<ITEM> CSI_0502_L pol0 46.5166
<ITEM> SI_0503_GG pol0 98.8374
<ITEM> SI_0503_PG pol0 81.812
<ITEM> CSI_0503_R pol0 29.4047
<ITEM> CSI_0503_L pol0 53.8897
<ITEM> SI_0504_GG pol0 105.326
<ITEM> SI_0504_PG pol0 83.5469
<ITEM> CSI_0504_R pol0 29.1952
<ITEM> CSI_0504_L pol0 54.0473
<ITEM> SI_0505_GG pol0 94.8775
<ITEM> SI_0505_PG pol0 84.3563
<ITEM> CSI_0505_R pol0 26.3954
<ITEM> CSI_0505_L pol0 50.976
<ITEM> SI_0506_GG pol0 96.9357
<ITEM> SI_0506_PG pol0 83.7738
<ITEM> CSI_0506_R pol0 30.3721
<ITEM> CSI_0506_L pol0 55.7393
<ITEM> SI_0507_GG pol0 83.1743
<ITEM> SI_0507_PG pol0 84.2695
<ITEM> CSI_0507_R pol0 29.2689
<ITEM> CSI_0507_L pol0 54.2669
<ITEM> SI_0508_GG pol0 85.1187
<ITEM> SI_0508_PG pol0 81.2659
<ITEM> CSI_0508_R pol0 29.6047
<ITEM> CSI_0508_L pol0 53.7034
<ITEM> SI_0509_GG pol0 106.423
<ITEM> SI_0509_PG pol0 85.6754
<ITEM> CSI_0509_R pol0 25.4828
<ITEM> CSI_0509_L pol0 48.4779
<ITEM> SI_0510_GG pol0 112.046
<ITEM> SI_0510_PG pol0 87.0617
<ITEM> CSI_0510_R pol0 26.6861
<ITEM> CSI_0510_L pol0 49.5281
<ITEM> SI_0511_GG pol0 113.503
<ITEM> SI_0511_PG pol0 92.1037
<ITEM> CSI_0511_R pol0 28.4073
<ITEM> CSI_0511_L pol0 51.5302
<ITEM> SI_0512_GG pol0 105.806
<ITEM> SI_0512_PG pol0 86.5748
<ITEM> CSI_0512_R pol0 23.2145
<ITEM> CSI_0512_L pol0 46.3598
<ITEM> SI_0513_GG pol0 112.506
<ITEM> SI_0513_PG pol0 84.0011
<ITEM> CSI_0513_R pol0 21.9709
<ITEM> CSI_0513_L pol0 45.7468
<ITEM> SI_0514_GG pol0 110.487
<ITEM> SI_0514_PG pol0 86.2434
<ITEM> CSI_0514_R pol0 21.3429
<ITEM> CSI_0514_L pol0 45.3955
<ITEM> SI_0515_GG pol0 100.242
<ITEM> SI_0515_PG pol0 85.5859
<ITEM> CSI_0515_R pol0 23.9316
<ITEM> CSI_0515_L pol0 45.657
<ITEM> SI_0516_GG pol0 105.015
<ITEM> SI_0516_PG pol0 84.0051
<ITEM> CSI_0516_R pol0 22.3105
<ITEM> CSI_0516_L pol0 45.7318
<ITEM> SI_0517_GG pol0 93.7674
<ITEM> SI_0517_PG pol0 86.1032
<ITEM> CSI_0517_R pol0 21.9381
<ITEM> CSI_0517_L pol0 45.0694
<ITEM> SI_0518_GG pol0 99.7271
<ITEM> SI_0518_PG pol0 85.7907
<ITEM> CSI_0518_R pol0 20.0806
<ITEM> CSI_0518_L pol0 43.3365
<ITEM> SI_0519_GG pol0 100.152
<ITEM> SI_0519_PG pol0 82.4088
<ITEM> CSI_0519_R pol0 20.3708
<ITEM> CSI_0519_L pol0 43.4803
<ITEM> SI_0520_GG pol0 125.213
<ITEM> SI_0520_PG pol0 83.6659
<ITEM> CSI_0520_R pol0 19.2972
<ITEM> CSI_0520_L pol0 43.3849
<ITEM> SI_0521_GG pol0 110.201
<ITEM> SI_0521_PG pol0 84.4135
<ITEM> CSI_0521_R pol0 16.4536
<ITEM> CSI_0521_L pol0 39.1371
<ITEM> SI_0522_GG pol0 97.6591
<ITEM> SI_0522_PG pol0 86.0436
<ITEM> CSI_0522_R pol0 14.2475
<ITEM> CSI_0522_L pol0 37.5029
<ITEM> SI_0523_GG pol0 91.5879
<ITEM> SI_0523_PG pol0 89.2032
<ITEM> CSI_0523_R pol0 14.4578
<ITEM> CSI_0523_L pol0 37.3594
<ITEM> SI_0524_GG pol0 99.1857
<ITEM> SI_0524_PG pol0 85.1918
<ITEM> CSI_0524_R pol0 16.1756
<ITEM> CSI_0524_L pol0 39.7042
<ITEM> SI_0601_GG pol0 16.2879
<ITEM> SI_0601_PG pol0 28.0617
<ITEM> CSI_0601_R pol0 26.4581
<ITEM> CSI_0601_L pol0 39.5952
<ITEM> SI_0602_GG pol0 40.028
<ITEM> SI_0602_PG pol0 25.1286
<ITEM> CSI_0602_R pol0 28.3047
<ITEM> CSI_0602_L pol0 39.6896
<ITEM> SI_0603_GG pol0 43.5858
<ITEM> SI_0603_PG pol0 23.6963
<ITEM> CSI_0603_R pol0 34.3384
<ITEM> CSI_0603_L pol0 46.7119
<ITEM> SI_0604_GG pol0 52.9297
<ITEM> SI_0604_PG pol0 23.9677
<ITEM> CSI_0604_R pol0 34.0283
<ITEM> CSI_0604_L pol0 46.5192
<ITEM> SI_0605_GG pol0 59.3838
<ITEM> SI_0605_PG pol0 24.1276
<ITEM> CSI_0605_R pol0 27.7681
<ITEM> CSI_0605_L pol0 40.2674
<ITEM> SI_0606_GG pol0 62.1341
<ITEM> SI_0606_PG pol0 24.1242
<ITEM> CSI_0606_R pol0 31.4346
<ITEM> CSI_0606_L pol0 44.2053
<ITEM> SI_0607_GG pol0 63.6006
<ITEM> SI_0607_PG pol0 24.6156
<ITEM> CSI_0607_R pol0 32.2173
<ITEM> CSI_0607_L pol0 43.8463
<ITEM> SI_0608_GG pol0 56.0184
<ITEM> SI_0608_PG pol0 22.6665
<ITEM> CSI_0608_R pol0 30.4266
<ITEM> CSI_0608_L pol0 44.1178
<ITEM> SI_0609_GG pol0 14.1246
<ITEM> SI_0609_PG pol0 15.1507
<ITEM> CSI_0609_R pol0 27.0927
<ITEM> CSI_0609_L pol0 257.864
<ITEM> SI_0610_GG pol0 71.4029
<ITEM> SI_0610_PG pol0 24.6748
<ITEM> CSI_0610_R pol0 29.3468
<ITEM> CSI_0610_L pol0 39.4264
<ITEM> SI_0611_GG pol0 69.1834
<ITEM> SI_0611_PG pol0 25.7272
<ITEM> CSI_0611_R pol0 29.7065
<ITEM> CSI_0611_L pol0 39.8368
<ITEM> SI_0612_GG pol0 71.9151
<ITEM> SI_0612_PG pol0 23.6435
<ITEM> CSI_0612_R pol0 30.0687
<ITEM> CSI_0612_L pol0 42.4053
<ITEM> SI_0613_GG pol0 66.4936
<ITEM> SI_0613_PG pol0 23.7513
<ITEM> CSI_0613_R pol0 25.2757
<ITEM> CSI_0613_L pol0 35.5414
<ITEM> SI_0614_GG pol0 56.5292
<ITEM> SI_0614_PG pol0 24.6809
<ITEM> CSI_0614_R pol0 26.494
<ITEM> CSI_0614_L pol0 39.0385
<ITEM> SI_0615_GG pol0 61.0221
<ITEM> SI_0615_PG pol0 23.392
<ITEM> CSI_0615_R pol0 25.381
<ITEM> CSI_0615_L pol0 36.5329
<ITEM> SI_0616_GG pol0 66.1138
<ITEM> SI_0616_PG pol0 22.5831
<ITEM> CSI_0616_R pol0 22.582
<ITEM> CSI_0616_L pol0 33.8013
<ITEM> SI_0617_GG pol0 7.33865
<ITEM> SI_0617_PG pol0 10.2427
<ITEM> CSI_0617_R pol0 24.9452
<ITEM> CSI_0617_L pol0 38.7061
<ITEM> SI_0618_GG pol0 76.4305
<ITEM> SI_0618_PG pol0 22.3326
<ITEM> CSI_0618_R pol0 24.5797
<ITEM> CSI_0618_L pol0 37.0976
<ITEM> SI_0619_GG pol0 67.6273
<ITEM> SI_0619_PG pol0 23.2364
<ITEM> CSI_0619_R pol0 23.4591
<ITEM> CSI_0619_L pol0 37.2032
<ITEM> SI_0620_GG pol0 59.4828
<ITEM> SI_0620_PG pol0 24.4179
<ITEM> CSI_0620_R pol0 23.2356
<ITEM> CSI_0620_L pol0 36.7699
<ITEM> SI_0621_GG pol0 57.0902
<ITEM> SI_0621_PG pol0 24.525
<ITEM> CSI_0621_R pol0 19.4428
<ITEM> CSI_0621_L pol0 29.5274
<ITEM> SI_0622_GG pol0 64.2409
