# DataSet FAZIACOR
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/FAZIACOR-MAR17/
run=187 | starting date=Mon Mar 13 18:52:09 2017 | nfiles=10 | size(GB)=0.93
run=188 | starting date=Mon Mar 13 19:52:48 2017 | nfiles=10 | size(GB)=0.93
run=189 | starting date=Mon Mar 13 20:53:58 2017 | nfiles=10 | size(GB)=0.93
run=190 | starting date=Mon Mar 13 21:55:06 2017 | nfiles=1 | size(GB)=0.03
run=191 | starting date=Tue Mar 14 19:59:42 2017 | nfiles=10 | size(GB)=0.93
run=192 | starting date=Tue Mar 14 20:00:43 2017 | nfiles=10 | size(GB)=0.93
run=193 | starting date=Tue Mar 14 20:01:35 2017 | nfiles=10 | size(GB)=0.93
run=194 | starting date=Tue Mar 14 20:02:25 2017 | nfiles=10 | size(GB)=0.93
run=195 | starting date=Tue Mar 14 20:03:16 2017 | nfiles=10 | size(GB)=0.93
run=196 | starting date=Tue Mar 14 20:04:06 2017 | nfiles=7 | size(GB)=0.61
run=197 | starting date=Tue Mar 14 20:05:03 2017 | nfiles=10 | size(GB)=0.93
run=198 | starting date=Tue Mar 14 20:10:49 2017 | nfiles=10 | size(GB)=0.93
run=199 | starting date=Tue Mar 14 20:11:41 2017 | nfiles=10 | size(GB)=0.93
run=200 | starting date=Tue Mar 14 20:12:33 2017 | nfiles=10 | size(GB)=0.93
run=201 | starting date=Tue Mar 14 20:13:26 2017 | nfiles=10 | size(GB)=0.93
run=202 | starting date=Tue Mar 14 20:14:17 2017 | nfiles=10 | size(GB)=0.93
run=203 | starting date=Tue Mar 14 20:15:06 2017 | nfiles=10 | size(GB)=0.93
run=204 | starting date=Tue Mar 14 20:15:54 2017 | nfiles=10 | size(GB)=0.93
run=205 | starting date=Tue Mar 14 20:16:52 2017 | nfiles=5 | size(GB)=0.37
run=206 | starting date=Tue Mar 14 20:19:23 2017 | nfiles=10 | size(GB)=0.93
run=207 | starting date=Tue Mar 14 20:20:03 2017 | nfiles=10 | size(GB)=0.93
run=208 | starting date=Tue Mar 14 20:20:26 2017 | nfiles=10 | size(GB)=0.93
run=209 | starting date=Tue Mar 14 20:20:49 2017 | nfiles=10 | size(GB)=0.93
run=210 | starting date=Tue Mar 14 20:21:12 2017 | nfiles=10 | size(GB)=0.93
run=211 | starting date=Tue Mar 14 20:21:35 2017 | nfiles=10 | size(GB)=0.93
run=212 | starting date=Tue Mar 14 20:21:58 2017 | nfiles=10 | size(GB)=0.93
run=213 | starting date=Tue Mar 14 20:22:21 2017 | nfiles=10 | size(GB)=0.93
run=214 | starting date=Tue Mar 14 20:22:44 2017 | nfiles=10 | size(GB)=0.93
run=215 | starting date=Tue Mar 14 20:23:07 2017 | nfiles=10 | size(GB)=0.93
run=216 | starting date=Tue Mar 14 20:23:30 2017 | nfiles=10 | size(GB)=0.93
run=217 | starting date=Tue Mar 14 20:23:53 2017 | nfiles=10 | size(GB)=0.93
run=218 | starting date=Tue Mar 14 20:24:15 2017 | nfiles=10 | size(GB)=0.93
run=219 | starting date=Tue Mar 14 20:24:38 2017 | nfiles=10 | size(GB)=0.93
run=220 | starting date=Tue Mar 14 20:25:01 2017 | nfiles=10 | size(GB)=0.93
run=221 | starting date=Tue Mar 14 20:25:25 2017 | nfiles=10 | size(GB)=0.93
run=222 | starting date=Tue Mar 14 20:25:48 2017 | nfiles=10 | size(GB)=0.93
run=223 | starting date=Tue Mar 14 20:26:10 2017 | nfiles=10 | size(GB)=0.93
run=224 | starting date=Tue Mar 14 20:26:33 2017 | nfiles=10 | size(GB)=0.93
run=225 | starting date=Tue Mar 14 20:26:56 2017 | nfiles=10 | size(GB)=0.93
run=226 | starting date=Tue Mar 14 20:27:19 2017 | nfiles=10 | size(GB)=0.93
run=227 | starting date=Tue Mar 14 20:27:44 2017 | nfiles=10 | size(GB)=0.93
run=228 | starting date=Tue Mar 14 20:28:10 2017 | nfiles=10 | size(GB)=0.93
run=229 | starting date=Tue Mar 14 20:28:40 2017 | nfiles=10 | size(GB)=0.93
run=230 | starting date=Tue Mar 14 20:29:09 2017 | nfiles=10 | size(GB)=0.93
run=231 | starting date=Tue Mar 14 20:29:39 2017 | nfiles=10 | size(GB)=0.93
run=232 | starting date=Tue Mar 14 20:30:09 2017 | nfiles=10 | size(GB)=0.93
run=233 | starting date=Tue Mar 14 20:30:38 2017 | nfiles=10 | size(GB)=0.93
run=234 | starting date=Tue Mar 14 20:31:07 2017 | nfiles=10 | size(GB)=0.93
run=235 | starting date=Tue Mar 14 20:31:34 2017 | nfiles=10 | size(GB)=0.93
run=236 | starting date=Tue Mar 14 20:32:01 2017 | nfiles=10 | size(GB)=0.93
run=237 | starting date=Tue Mar 14 20:32:28 2017 | nfiles=10 | size(GB)=0.93
run=238 | starting date=Tue Mar 14 20:32:57 2017 | nfiles=10 | size(GB)=0.93
run=239 | starting date=Tue Mar 14 20:33:26 2017 | nfiles=10 | size(GB)=0.93
run=240 | starting date=Tue Mar 14 20:33:58 2017 | nfiles=10 | size(GB)=0.93
run=241 | starting date=Tue Mar 14 20:34:31 2017 | nfiles=10 | size(GB)=0.93
run=242 | starting date=Tue Mar 14 20:35:03 2017 | nfiles=10 | size(GB)=0.93
run=243 | starting date=Tue Mar 14 20:35:39 2017 | nfiles=10 | size(GB)=0.93
run=244 | starting date=Tue Mar 14 20:36:12 2017 | nfiles=10 | size(GB)=0.93
run=245 | starting date=Tue Mar 14 20:36:45 2017 | nfiles=10 | size(GB)=0.93
run=246 | starting date=Tue Mar 14 20:37:18 2017 | nfiles=10 | size(GB)=0.93
run=247 | starting date=Tue Mar 14 20:37:50 2017 | nfiles=10 | size(GB)=0.93
run=248 | starting date=Tue Mar 14 20:38:18 2017 | nfiles=10 | size(GB)=0.93
run=249 | starting date=Tue Mar 14 20:38:48 2017 | nfiles=10 | size(GB)=0.93
run=250 | starting date=Tue Mar 14 20:39:17 2017 | nfiles=10 | size(GB)=0.93
run=251 | starting date=Tue Mar 14 20:39:46 2017 | nfiles=10 | size(GB)=0.93
run=252 | starting date=Tue Mar 14 20:40:15 2017 | nfiles=10 | size(GB)=0.93
