||INDRA@GANIL|||01/04/2001||E372|||||||18/02/2003 11:50:42|||
|||||||||||||||||
|DLT 1 & 1bis|||Piedestaux/Automate||||||||||18/02/2003 11:50:42|||
Tape|Run|Events|Faraday1|Buffers|Gene direct|Gene mrq|G TM|TM %|Trigger|Cible|Evt/Far|T(min)|Date|Remarque etc.|cahier-page||
3|6069|241136|1730|12109|89190|5890|17530|21.0444177671068|M>=4|112Sn|139.384971098266|8|||||
3|6070|242715|1734|12112|87647|3140|17358|20.5403102701551|M>=4|112Sn|139.974048442907|8|||||
3|6071|240803|1706|12110|90100|6276|17484|20.8579881656805|M>=4|112Sn|141.150644783118|8|||||
3|6072|242999|1688|12113|93719|3171|17862|19.7265538719795|M>=4|112Sn|143.956753554502|9|||||
3|6073|242461|1673|12113|102586|6342|17857|18.5538838784755|M>=4|112Sn|144.925881649731|9|||||
3|6074|243584|1630|12111|109370|6332|17611|17.091752557309|M>=4|112Sn|149.438036809816|10|||||
3|6075|244610|1599|12110|119019|6301|17179|15.2406891534626|M>=4|112Sn|152.976860537836|10|||||
3|6076|243849|1586|12116|130455|9486|17777|14.6955005001281|M>=4|112Sn|153.750945775536|12|||||
3|6077|242455|1625|12114|111092|6302|17484|16.6847981677641|M>=4|112Sn|149.203076923077|10|||||
3|6078|243698|1590|12111|124763|6333|17872|15.0907709195305|M>=4|112Sn|153.269182389937|11|||||
3|6079|245823|1548|12110|143210|6342|17377|12.6961744162259|M>=4|112Sn|158.800387596899|11|||||
3|6080|246385|1540|12112|158537|9486|17342|11.6349437440876|M>=4|112Sn|152.976860537836|14|||||
3|6081|243547|1673|12111|92312|6295|17666|20.5378006673099|M>=4|112Sn|145.575014943216|9|||||
3|6082|248908|1655|12109|169043|9476|17933|11.2385392969724|M>=4|112Sn|150.397583081571|15|||||
3|6083|240948|1683|12115|98594|6353|18296|19.834997452326|M>=4|112Sn|143.16577540107|9|||||
3|6084|247277|1643|12113|177380|9500|17580|10.4717655468192|M>=4|112Sn|150.503347534997|16|||||
3|6085|242479|1685|12113|95118|3163|3163|3.43972595291175|M>=4|112Sn|143.904451038576|8|||||
3|6086|240472|1666|12109|99820|6330|17347|18.5549256604985|M>=4|112Sn|144.34093637455|9|||||
3|6087|239504|1668|12112|101030|6347|17422|18.4003464191037|M>=4|112Sn|143.587529976019|9|||||
3|6088|239449|1672|12112|99299|6341|17327|18.6396006798769|M>=4|112Sn|143.211124401914|9|||||
3|6089|241341|1691|12111|94084|3161|17665|19.4285274353024|M>=4|112Sn|142.720875221762|7|||||
3|6090|239994|1686|12113|94067|6305|17448|19.8810419087988|M>=4|112Sn|142.345195729537|8|||||
3|6091|240815|1684|12110|95602|6332|17455|19.553041335275|M>=4|112Sn|143.001781472684|9|||||
3|6092|250076|1627|12114|185500|9474|17575|9.98432049810823|M>=4|112Sn|153.703749231715|6|||||
3|6093|242938|1650|12112|104544|6329|17794|18.1173955098508|M>=4|112Sn|147.235151515152|10|||||
3|6094|242828|1668|12115|101023|6335|18353|19.3826039202433|M>=4|112Sn|145.580335731415|9|||||
3|6095|244639|1678|12111|97458|3173|17627|18.6954446624596|M>=4|112Sn|145.792014302741|9|||||
3|6096|242819|1660|12114|100038|5540|17128|18.1252513280704|M>=4|112Sn|146.276506024096|9|||||
3|6097|242195|1654|12112|100765|6334|17405|18.4314473001451|M>=4|112Sn|146.429866989117|9|||||
3|6098|242164|1665|12112|98049|6327|17767|19.3704890865877|M>=4|112Sn|145.443843843844|9|||||
3|6099|243235|1645|12114|108149|6322|17398|17.0858416726409|M>=4|112Sn|147.863221884498|9|||||
3|6100|243058|1644|12111|106139|6314|17435|17.465564738292|M>=4|112Sn|147.845498783455|10|||||
3|6101|243692|1663|12108|104766|3589|17872|17.6640936181148|M>=4|112Sn|146.5375826819|9|||||
3|6102|243022|1645|12112|105041|5429|17412|17.4798217082279|M>=4|112Sn|147.733738601824|10|||||
3|6103|243393|1648|12112|108266|6337|17514|17.1825486367962|M>=4|112Sn|147.689927184466|9|||||
3|6104|242540|1661|12113|105038|6313|17895|18.1261078754115|M>=4|112Sn|146.020469596629|10|||||
3|6105|241654|1683|12114|96776|6328|17381|19.2165664249071|M>=4|112Sn|143.585264408794|9|||||
3|6106|241168|1703|12109|94526|6337|17754|20.1317624647065|M>=4|112Sn|141.613623018203|8|||||
3|6107|241093|1707|12110|91875|3158|17568|19.8022926834767|M>=4|112Sn|141.23784417106|8|||||
3|6108|240977|1707|12111|97426|6320|18041|19.8022084165697|M>=4|112Sn|141.169888693615|9|||||
3|6109|241641|1695|12111|95515|6320|17474|19.5907842367846|M>=4|112Sn|142.561061946903|9|||||
3|6110|243166|1727|12111|91809|3151|17979|20.2790498319385|M>=4|112Sn|140.802547770701|8|06/04/2001 03:28:00||||
3|6111|241340|1691|12113|94490|6332|17206|19.5172304271875|M>=4|112Sn|142.720283855707|8|||||
3|6112|241248|1696|12111|95008|6295|17555|19.7885315568181|M>=4|112Sn|142.245283018868|9|||||
3|6113|242376|1699|12114|93110|3165|17636|19.6075379398521|M>=4|112Sn|142.658034137728|8|||||
3|6114|241314|1675|12109|99932|6324|17420|18.6095205537988|M>=4|112Sn|144.068059701493|9|||||
3|6115|242457|1661|12110|102728|6286|17493|18.1383629538998|M>=4|112Sn|145.970499698977|10|||||
3|6116|242209|1659|12112|104805|6274|17675|17.9385168119678|M>=4|112Sn|145.996986136227|9|||||
3|6117|242558|1646|12112|105273|6268|17171|17.3435685066411|M>=4|112Sn|147.362089914945|10|||||
3|6118|242842|1646|12114|107985|6282|17466|17.173534703991|M>=4|112Sn|147.534629404617|9|||||
3|6119|243000|1643|12111|111850|6307|17584|16.6605080393773|M>=4|112Sn|147.900182592818|11|||||
3|6120|243196|1627|12114|113792|6335|17451|16.2399843658394|M>=4|112Sn|149.475107559926|10|||||
3|6121|243000|1628|12111|113854|6345|17451|16.2321294031197|M>=4|112Sn|149.262899262899|10|||||
3|6122|241564|1621|12109|116816|6312|17608|15.9342648229928|M>=4|112Sn|149.021591610117|10|||||
3|6123|241295|1622|12116|116476|6287|17531|15.9099365635408|M>=4|112Sn|148.763871763255|11|||||
3|6124|240306|1619|12049|112991|6277|17234|16.1497085668235|M>=4|112Sn|148.428659666461|10|||||
|||||||||||||||||
|DLT 4 & 4 Bis|||124Xe + 112 Sn 32 MeV/A||||||||||18/02/2003 11:54:29|||
Tape|Run|Events|Faraday1|Buffers|Gene direct|Gene mrq|G TM|TM %|Trigger|Cible|Evt/Far|T(min)|Date|Remarque etc.|cahier-page||
4|6125|833111|1215|12110|89852|3161|29876|34.4626316457302|M>=1|112Sn|685.688065843621|7|||||
4|6126|819045|1177|12110|71332|6298|19235|29.5768367315558|M>=1|112Sn|695.875106202209|7|||||
4|6127|823876|1242|12113|65597|3151|19346|30.9803670371201|M>=1|112Sn|663.346215780998|6|||||
4|6128|859247|1228|12116|64055|3176|18971|31.1618127761626|M>=1|112Sn|699.712540716612|6|||||
4|6129|831245|1265|12117|64714|3173|19245|31.2718350368047|M>=1|112Sn|657.110671936759|6|||||
4|6130|818345|1263|12009|65040|3171|19527|31.5618484216651|M>=1|112Sn|647.937450514648|6|||||
4|6131|239076|1723|12111|86632|6282|17307|21.5395146235221|M>=4|112Sn|138.755658734765|8|||||
4|6132|227041|1692|11413|80304|3138|16333|21.1660575901304|M>=4|112Sn|134.184988179669|7|||||
4|6133|0|0|3375|0|0|0|0|M>=4|112Sn|0|0|0|crash acquisition (pas de feuille de run)|||
4|6134|241396|1729|12113|83592|3172|17595|21.8788858492912|M>=4|112Sn|139.615962984384|7|||||
4|6135|241091|1734|12113|85746|6338|17485|22.0191920209551|M>=4|112Sn|139.037485582468|8|||||
4|6136|242255|1759|12112|82525|3178|18122|22.8389227065926|M>=4|112Sn|137.723138146674|7|||||
4|6137|240803|1741|12113|84499|6322|17604|22.5181319313865|M>=4|112Sn|138.31303848363|8|||||
4|6138|241883|1752|12113|82802|3177|17453|21.9189952904239|M>=4|112Sn|138.061073059361|7|||||
4|6139|239956|1731|12111|87626|6328|17795|21.8886073458142|M>=4|112Sn|138.62276140959|8|||||
4|6140|239804|1737|12117|84316|3168|17389|21.4287474737517|M>=4|112Sn|138.056419113414|8|||||
4|6141|238546|1738|12113|85641|6328|17644|22.2460378500372|M>=4|112Sn|137.253164556962|7|||||
4|6142|241000|1759|12117|82680|3159|17686|22.2406659876008|M>=4|112Sn|137.009664582149|7|||||
4|6143|240607|1738|12113|85738|6333|17521|22.065361123355|M>=4|112Sn|138.439010356732|8|||||
4|6144|238598|3949|11966|197790|10003|132513|70.5655876072359|M>=4|112Sn|60.419853127374|18||plantage acquisition|||
4|6145|243051|1715|12113|91118|4510|17644|20.3722519859597|M>=4|112Sn|141.720699708455|8|||||
4|6146|240608|1700|12111|92090|6322|17576|20.4924913720735|M>=4|112Sn|141.534117647059|8|||||
4|6147|241749|1698|12115|92437|3168|17616|19.7336141325656|M>=4|112Sn|142.372791519435|8|||||
4|6148|241492|1670|12112|97799|6314|17432|19.0544898070722|M>=4|112Sn|144.605988023952|9|||||
4|6149|241112|1666|12112|98239|6286|17459|18.9868737289702|M>=4|112Sn|144.725090036014|9|||||
4|6150|240960|1667|12111|97744|6274|17428|19.0532414999453|M>=4|112Sn|144.547090581884|9|||||
4|6151|241710|1686|12110|95898|3141|17446|18.8082840109102|M>=4|112Sn|143.362989323843|8|||||
