run=1077 | aqcuisition status=Running | starting date=Mon Jun  8 17:26:20 2015 | stopping date=Mon Jun  8 17:27:09 2015 | read events=14790 | good events=10741 | store events=10741 | wrong number of blocks=4047 | block errors=2 | nfiles=10 | frequency=265.44 | duration=55.6
run=1078 | aqcuisition status=Running | starting date=Mon Jun  8 17:27:15 2015 | stopping date=Mon Jun  8 17:28:18 2015 | read events=14618 | good events=10933 | store events=10933 | wrong number of blocks=3681 | block errors=4 | nfiles=10 | frequency=205.80 | duration=71.1
run=1079 | aqcuisition status=Running | starting date=Mon Jun  8 17:28:24 2015 | stopping date=Mon Jun  8 17:29:24 2015 | read events=14739 | good events=10943 | store events=10943 | wrong number of blocks=3794 | block errors=2 | nfiles=10 | frequency=216.66 | duration=67.8
run=1080 | aqcuisition status=Running | starting date=Mon Jun  8 17:29:30 2015 | stopping date=Mon Jun  8 17:30:19 2015 | read events=14676 | good events=10962 | store events=10962 | wrong number of blocks=3713 | block errors=1 | nfiles=10 | frequency=263.26 | duration=55.6
run=1081 | aqcuisition status=Running | starting date=Mon Jun  8 17:30:25 2015 | stopping date=Mon Jun  8 17:31:15 2015 | read events=14635 | good events=11059 | store events=11059 | wrong number of blocks=3573 | block errors=3 | nfiles=10 | frequency=258.71 | duration=56.7
run=1082 | aqcuisition status=Running | starting date=Mon Jun  8 17:31:21 2015 | stopping date=Mon Jun  8 17:32:12 2015 | read events=14789 | good events=11080 | store events=11080 | wrong number of blocks=3705 | block errors=4 | nfiles=10 | frequency=256.37 | duration=57.8
run=1083 | aqcuisition status=Running | starting date=Mon Jun  8 17:32:18 2015 | stopping date=Mon Jun  8 17:33:09 2015 | read events=14848 | good events=11144 | store events=11144 | wrong number of blocks=3700 | block errors=4 | nfiles=10 | frequency=257.00 | duration=57.8
run=1084 | aqcuisition status=Running | starting date=Mon Jun  8 17:33:14 2015 | stopping date=Mon Jun  8 17:34:04 2015 | read events=14755 | good events=11074 | store events=11074 | wrong number of blocks=3679 | block errors=2 | nfiles=10 | frequency=260.75 | duration=56.7
run=1085 | aqcuisition status=Running | starting date=Mon Jun  8 17:34:09 2015 | stopping date=Mon Jun  8 17:34:59 2015 | read events=14641 | good events=11142 | store events=11142 | wrong number of blocks=3497 | block errors=2 | nfiles=10 | frequency=258.92 | duration=56.7
run=1086 | aqcuisition status=Running | starting date=Mon Jun  8 17:35:05 2015 | stopping date=Mon Jun  8 17:35:55 2015 | read events=14678 | good events=11174 | store events=11174 | wrong number of blocks=3501 | block errors=3 | nfiles=10 | frequency=258.51 | duration=56.7
run=1087 | aqcuisition status=Running | starting date=Mon Jun  8 17:36:00 2015 | stopping date=Mon Jun  8 17:36:50 2015 | read events=14536 | good events=11007 | store events=11007 | wrong number of blocks=3525 | block errors=4 | nfiles=10 | frequency=257.06 | duration=56.7
run=1088 | aqcuisition status=Running | starting date=Mon Jun  8 17:36:56 2015 | stopping date=Mon Jun  8 17:37:49 2015 | read events=14626 | good events=11051 | store events=11051 | wrong number of blocks=3573 | block errors=2 | nfiles=10 | frequency=243.93 | duration=60.0
run=1089 | aqcuisition status=Running | starting date=Mon Jun  8 17:37:55 2015 | stopping date=Mon Jun  8 17:38:46 2015 | read events=14725 | good events=11044 | store events=11044 | wrong number of blocks=3678 | block errors=3 | nfiles=10 | frequency=254.42 | duration=57.8
run=1090 | aqcuisition status=Running | starting date=Mon Jun  8 17:38:52 2015 | stopping date=Mon Jun  8 17:39:43 2015 | read events=14809 | good events=11195 | store events=11195 | wrong number of blocks=3613 | block errors=1 | nfiles=10 | frequency=257.06 | duration=57.8
run=1091 | aqcuisition status=Running | starting date=Mon Jun  8 17:39:49 2015 | stopping date=Mon Jun  8 17:40:42 2015 | read events=14756 | good events=11026 | store events=11026 | wrong number of blocks=3727 | block errors=3 | nfiles=10 | frequency=245.63 | duration=60.0
run=1092 | aqcuisition status=Running | starting date=Mon Jun  8 17:40:48 2015 | stopping date=Mon Jun  8 17:41:42 2015 | read events=14710 | good events=11060 | store events=11060 | wrong number of blocks=3647 | block errors=3 | nfiles=10 | frequency=241.07 | duration=61.1
run=1093 | aqcuisition status=Running | starting date=Mon Jun  8 17:41:48 2015 | stopping date=Mon Jun  8 17:42:43 2015 | read events=14747 | good events=10967 | store events=10967 | wrong number of blocks=3778 | block errors=2 | nfiles=10 | frequency=236.91 | duration=62.2
run=1094 | aqcuisition status=Running | starting date=Mon Jun  8 17:42:49 2015 | stopping date=Mon Jun  8 17:43:43 2015 | read events=14721 | good events=11044 | store events=11044 | wrong number of blocks=3674 | block errors=3 | nfiles=10 | frequency=241.00 | duration=61.1
run=1095 | aqcuisition status=Running | starting date=Mon Jun  8 17:43:49 2015 | stopping date=Mon Jun  8 17:44:44 2015 | read events=14788 | good events=11083 | store events=11083 | wrong number of blocks=3703 | block errors=2 | nfiles=10 | frequency=237.70 | duration=62.2
run=1096 | aqcuisition status=Running | starting date=Mon Jun  8 17:44:50 2015 | stopping date=Mon Jun  8 17:45:44 2015 | read events=14648 | good events=11061 | store events=11061 | wrong number of blocks=3583 | block errors=4 | nfiles=10 | frequency=239.33 | duration=61.1
run=1097 | aqcuisition status=Running | starting date=Mon Jun  8 17:45:50 2015 | stopping date=Mon Jun  8 17:46:44 2015 | read events=14676 | good events=11082 | store events=11082 | wrong number of blocks=3592 | block errors=2 | nfiles=10 | frequency=240.18 | duration=61.1
run=1098 | aqcuisition status=Running | starting date=Mon Jun  8 17:46:50 2015 | stopping date=Mon Jun  8 17:47:44 2015 | read events=14496 | good events=10883 | store events=10883 | wrong number of blocks=3610 | block errors=3 | nfiles=10 | frequency=236.71 | duration=61.1
run=1099 | aqcuisition status=Running | starting date=Mon Jun  8 17:47:50 2015 | stopping date=Mon Jun  8 17:48:43 2015 | read events=14544 | good events=11046 | store events=11046 | wrong number of blocks=3494 | block errors=4 | nfiles=10 | frequency=242.11 | duration=60.0
run=1100 | aqcuisition status=Running | starting date=Mon Jun  8 17:48:49 2015 | stopping date=Mon Jun  8 17:49:42 2015 | read events=14579 | good events=10949 | store events=10949 | wrong number of blocks=3627 | block errors=3 | nfiles=10 | frequency=242.46 | duration=60.0
run=1101 | aqcuisition status=Running | starting date=Mon Jun  8 17:49:48 2015 | stopping date=Mon Jun  8 17:50:42 2015 | read events=14697 | good events=10946 | store events=10946 | wrong number of blocks=3750 | block errors=1 | nfiles=10 | frequency=240.75 | duration=61.1
run=1102 | aqcuisition status=Running | starting date=Mon Jun  8 17:50:48 2015 | stopping date=Mon Jun  8 17:51:43 2015 | read events=14679 | good events=10992 | store events=10992 | wrong number of blocks=3685 | block errors=2 | nfiles=10 | frequency=236.32 | duration=62.2
run=1103 | aqcuisition status=Running | starting date=Mon Jun  8 17:51:50 2015 | stopping date=Mon Jun  8 17:52:42 2015 | read events=14683 | good events=11032 | store events=11032 | wrong number of blocks=3648 | block errors=3 | nfiles=10 | frequency=249.68 | duration=58.9
run=1104 | aqcuisition status=Running | starting date=Mon Jun  8 17:52:47 2015 | stopping date=Mon Jun  8 17:53:38 2015 | read events=14639 | good events=11039 | store events=11039 | wrong number of blocks=3596 | block errors=4 | nfiles=10 | frequency=253.65 | duration=57.8
run=1105 | aqcuisition status=Running | starting date=Mon Jun  8 17:53:44 2015 | stopping date=Mon Jun  8 17:54:33 2015 | read events=14634 | good events=11004 | store events=11004 | wrong number of blocks=3627 | block errors=3 | nfiles=10 | frequency=263.28 | duration=55.6
run=1106 | aqcuisition status=Running | starting date=Mon Jun  8 17:54:39 2015 | stopping date=Mon Jun  8 17:55:33 2015 | read events=14762 | good events=10958 | store events=10958 | wrong number of blocks=3802 | block errors=2 | nfiles=10 | frequency=241.69 | duration=61.1
run=1107 | aqcuisition status=Running | starting date=Mon Jun  8 17:55:38 2015 | stopping date=Mon Jun  8 17:56:29 2015 | read events=14593 | good events=10901 | store events=10901 | wrong number of blocks=3689 | block errors=3 | nfiles=10 | frequency=251.94 | duration=57.8
run=1108 | aqcuisition status=Running | starting date=Mon Jun  8 17:56:35 2015 | stopping date=Mon Jun  8 17:57:27 2015 | read events=14942 | good events=11019 | store events=11019 | wrong number of blocks=3919 | block errors=4 | nfiles=10 | frequency=253.91 | duration=58.9
