130  1.8871    
465  1.656     4.5
466  1.80      4.5
467  1.80      4.5
468  1.80      4.5
469  1.80      4.5
470  1.80      4.5
471  1.80      4.5
472  1.80      4.5
473  1.80      4.5
474  1.80      4.5
475  1.523     4.5
476  1.523     4.5
477  1.523     4.5
478  1.523     4.5
479  1.523     4.5
480  1.523     4.5
481  1.523     4.5
482  1.523     4.5
483  1.523     4.5
484  1.401     4.5
485  1.401     4.5
486  1.401     4.5
487  1.401     4.5
488  1.401     4.5
489  1.401     4.5
490  1.289     4.5
491  1.289     4.5
492  1.289     4.5
493  1.186     4.5
494  1.186     4.5
495  1.186     4.5
496  1.091     4.5
497  1.091     4.5
498  1.091     4.5
499  1.091     4.5
500  1.091     4.5
501  1.004     4.5
502  0.923     4.5
503  0.923     4.5
504  0.923     4.5
505  0.849     4.5
506  0.849     4.5
507  0.782     4.5
508  0.782     4.5
509  0.719     4.5
510  0.719     4.5
511  0.719     4.5
512  0.719     4.5
513  0.719     4.5
514  0.661     4.5
515  0.782     4.5
516  0.782     4.5
517  0.849     4.5
518  0.923     4.5
519  0.923     4.5
520  1.004     4.5
521  1.091     4.5
522  1.091     4.5
523  1.186     4.5
524  1.186     4.5
525  1.289     4.5
526  1.289     4.5
527  1.289     4.5
528  1.401     4.5
529  1.401     4.5
530  1.401     4.5
531  1.523     4.5
532  1.523     4.5
533  1.523     4.5
534  1.523     4.5
535  1.523     4.5
536  1.523     4.5
537  1.656     4.5
538  1.656     4.5
539  1.656     4.5
540  1.656     4.5
541  1.656     4.5
542  1.656     4.5
543  1.80      4.5
544  1.80      4.5
545  1.80      4.5
546  1.80      4.5
547  1.80      4.5
548  1.957     4.5
549  2.12      4.5
550  2.22      4.5
551  0         0
552  0         0
553  0         0
554  0         0
555  0         0
556  0         0
557  0         0
558  0         0
559  0         0
560  0         0
561  0         0
562  0         0
563  0         0
564  0         0
565  0         0
566  0         0
567  0         0
568  0         0
569  0         0
570  0         0
571  0         0
572  0         0
573  0         0
574  0         0
575  0         0
576  0         0
577  0         0
578  0         0
579  0         0
580  0.661     4.5
581  1.957     4.5
582  2.12      4.5
583  1.703     0
584  1.687     0
585  1.665     0
586  1.636     0
587  1.602     0
588  1.737     0
589  1.780     0
590  1.801     0
591  1.780     0
592  2.22      4.5
593  0         0
594  0         0
595  0         0
596  0         0
597  0         0
598  0         0
599  0         0
600  0         0
601  0         0
602  0         0
603  0         0
604  0         0
605  0         0
606  0         0
607  0         0
608  1.536     4.5
609  1.536     4.5
610  1.2313    4.5
611  0.9236    4.5
612  0.9236    4.5
613  0.9236    4.5

