########################################################
#Z	A	Q	Brho0	Run1	Run2	Brhomin	Brhomax
########################################################
7	10	6	0.849	517	517	0.828000	0.840000
7	10	6	0.719	511	513	0.738000	0.750000
7	11	5	1.800	543	547	1.86000	1.95600
7	11	5	1.656	537	542	1.57200	1.86000
7	11	5	1.523	531	536	1.45200	1.57200
7	11	5	1.401	528	530	1.34400	1.45200
7	11	5	1.289	525	527	1.29600	1.34400
7	11	5	1.186	523	524	1.23600	1.29600
7	11	5	1.091	521	522	1.10400	1.23600
7	11	5	1.004	520	520	1.06800	1.10400
7	11	5	0.923	518	519	0.924000	1.06800
7	11	5	0.849	517	517	0.876000	0.936000
7	11	6	1.800	543	547	1.77600	1.80000
7	11	6	1.656	537	542	1.66800	1.77600
7	11	6	1.523	531	536	1.45200	1.66800
7	11	6	1.401	528	530	1.33200	1.45200
7	11	6	1.289	525	527	1.18800	1.33200
7	11	6	1.186	523	524	1.21200	1.18800
7	11	6	1.091	521	522	0.996000	1.21200
7	11	6	1.004	520	520	1.06800	0.996000
7	11	6	0.923	518	519	0.900000	1.06800
7	11	6	0.849	517	517	0.744000	0.912000
7	11	6	0.782	515	516	0.738000	0.756000
7	11	6	0.719	511	513	0.732000	0.750000
7	11	6	0.661	514	514	0.690000	0.744000
7	12	5	1.656	537	542	1.66800	1.68000
7	12	5	1.401	528	530	1.41600	1.45200
7	12	5	1.186	523	524	1.17600	1.22400
7	12	5	1.091	521	522	1.06800	1.17600
7	12	5	0.849	517	517	0.936000	0.948000
7	12	6	1.800	543	547	1.74000	1.96800
7	12	6	1.656	537	542	1.54800	1.74000
7	12	6	1.523	531	536	1.44000	1.54800
7	12	6	1.401	528	530	1.33200	1.44000
7	12	6	1.289	525	527	1.22400	1.33200
7	12	6	1.186	523	524	1.20000	1.22400
7	12	6	1.091	521	522	1.11600	1.20000
7	12	6	1.004	520	520	1.08000	1.11600
7	12	6	0.923	518	519	0.972000	1.08000
7	12	6	0.849	517	517	0.816000	0.984000
7	12	6	0.719	511	513	0.744000	0.756000
7	12	6	0.661	514	514	0.738000	0.756000
7	12	7	1.656	537	542	1.59600	1.62000
7	12	7	1.523	531	536	1.44000	1.59600
7	12	7	1.401	528	530	1.38000	1.44000
7	12	7	1.289	525	527	1.26000	1.38000
7	12	7	1.186	523	524	1.11600	1.26000
7	12	7	0.923	518	519	0.900000	1.03200
7	12	7	0.849	517	517	0.828000	0.912000
7	12	7	0.719	511	513	0.687000	0.744000
7	12	7	0.661	514	514	0.687000	0.699000
7	13	5	1.800	543	547	1.71600	1.72800
7	13	6	1.800	543	547	1.69200	1.96800
7	13	6	1.656	537	542	1.56000	1.69200
7	13	6	1.523	531	536	1.45200	1.56000
7	13	6	1.401	528	530	1.33200	1.45200
7	13	6	1.289	525	527	1.27200	1.33200
7	13	6	1.186	523	524	1.24800	1.27200
7	13	6	1.091	521	522	1.09200	1.24800
7	13	6	1.004	520	520	1.06800	1.09200
7	13	6	0.923	518	519	0.924000	1.06800
7	13	6	0.849	517	517	0.816000	0.936000
7	13	7	1.800	543	547	1.87200	1.86000
7	13	7	1.656	537	542	1.58400	1.87200
7	13	7	1.523	531	536	1.45200	1.58400
7	13	7	1.401	528	530	1.35600	1.45200
7	13	7	1.289	525	527	1.26000	1.35600
7	13	7	1.186	523	524	1.05600	1.26000
7	13	7	1.091	521	522	1.00800	1.05600
7	13	7	1.004	520	520	1.03200	1.00800
7	13	7	0.923	518	519	0.948000	1.03200
7	13	7	0.849	517	517	0.744000	0.960000
7	13	7	0.782	515	516	0.744000	0.756000
7	13	7	0.719	511	513	0.741000	0.756000
7	13	7	0.661	514	514	0.711000	0.753000
7	14	6	1.800	543	547	1.82400	1.98000
7	14	6	1.656	537	542	1.56000	1.82400
7	14	6	1.523	531	536	1.47600	1.56000
7	14	6	1.401	528	530	1.42800	1.47600
7	14	6	1.289	525	527	1.29600	1.42800
7	14	6	1.186	523	524	1.22400	1.29600
7	14	6	1.091	521	522	1.06800	1.22400
7	14	6	0.923	518	519	0.936000	1.05600
7	14	6	0.849	517	517	0.876000	0.948000
7	14	7	1.800	543	547	1.70400	1.99200
7	14	7	1.656	537	542	1.56000	1.70400
7	14	7	1.523	531	536	1.42800	1.56000
7	14	7	1.401	528	530	1.36800	1.42800
7	14	7	1.289	525	527	1.26000	1.36800
7	14	7	1.186	523	524	1.15200	1.26000
7	14	7	1.091	521	522	1.08000	1.15200
7	14	7	1.004	520	520	1.06800	1.08000
7	14	7	0.923	518	519	0.984000	1.06800
7	14	7	0.849	517	517	0.792000	0.996000
7	14	7	0.661	514	514	0.744000	0.756000
7	15	6	1.800	543	547	1.83600	1.93200
7	15	6	1.656	537	542	1.62000	1.83600
7	15	6	1.523	531	536	1.45200	1.62000
7	15	6	1.186	523	524	1.17600	1.29600
7	15	6	1.091	521	522	1.15200	1.17600
7	15	6	0.849	517	517	0.936000	0.972000
7	15	7	1.800	543	547	1.69200	2.00400
7	15	7	1.656	537	542	1.60800	1.69200
7	15	7	1.523	531	536	1.47600	1.60800
7	15	7	1.401	528	530	1.38000	1.47600
7	15	7	1.289	525	527	1.24800	1.38000
7	15	7	1.186	523	524	1.12800	1.24800
7	15	7	1.091	521	522	1.10400	1.12800
7	15	7	1.004	520	520	1.08000	1.10400
7	15	7	0.923	518	519	0.984000	1.08000
7	15	7	0.849	517	517	0.792000	0.996000
7	16	6	1.186	523	524	1.23600	1.24800
7	16	7	1.800	543	547	1.69200	1.98000
7	16	7	1.656	537	542	1.56000	1.69200
7	16	7	1.523	531	536	1.45200	1.56000
7	16	7	1.401	528	530	1.36800	1.45200
7	16	7	1.289	525	527	1.17600	1.36800
7	16	7	1.186	523	524	1.17600	1.17600
7	16	7	1.091	521	522	1.10400	1.17600
7	16	7	1.004	520	520	1.05600	1.10400
7	16	7	0.923	518	519	0.972000	1.05600
7	16	7	0.849	517	517	0.852000	0.984000
7	17	7	1.800	543	547	1.70400	1.98000
7	17	7	1.656	537	542	1.60800	1.70400
7	17	7	1.523	531	536	1.54800	1.60800
