#Sys	Z	run1	run2	min1	max1	min2	max2	min3	max3	min4	max4	min5	max5	min6	max6	min7	max7
4040	19	548	548	2.09120	2.10763	2.13740	2.15845	2.19284	2.21080	2.26316	2.27959	0.0	0.0	0.0	0.0	0.0	0.0
4040	18	548	548	2.09326	2.11133	2.13799	2.16675	2.20253	2.22288	2.26146	2.28040	0.0	0.0	0.0	0.0	0.0	0.0	
4040	17	548	548	2.03978	2.05381	2.08959	2.11204	2.14851	2.17307	2.21867	2.23901	2.2825	2.30074	0.0	0.0	0.0	0.0
4040	16	548	548	2.04188	2.05802	2.09800	2.11905	2.15763	2.17798	2.22498	2.25234	2.29794	2.32039	0.0	0.0	0.0	0.0
4040	15	548	548	2.03697	2.06082	2.10572	2.12817	2.16816	2.18850	2.24743	2.27058	2.32039	2.34143	2.38914	2.41229	0.0	0.0
4040	14	548	548	1.96963	1.99348	2.03978	2.06503	2.11204	2.13519	2.18149	2.20323	2.26637	2.29303	2.34073	2.36669	0.0	0.0		
4040	13	548	548	1.97734	1.99208	2.04469	2.07065	2.12186	2.14571	2.19552	2.21937	2.28391	2.31548	2.37931	2.39826	0.0	0.0
4040	12	548	548	1.97103	1.99348	2.05381	2.07415	2.13519	2.15693	2.21586	2.23971	2.29794	2.32249	2.38493	2.41369	0.0	0.0
4040	11	548	548	1.97173	1.99488	2.05732	2.08257	2.14571	2.17237	2.24041	2.26216	2.32530	2.26809	2.42070	2.45157	0.0	0.0	
4040	10	548	548	1.96612	1.99418	2.07065	2.09239	2.16395	2.19271	2.25865	2.28601	2.36248	2.40176	0.0	0.0	0.0	0.0
4040	9	548	548	1.95913	1.98862	2.07322	2.10114	2.18574	2.21281	2.29911	2.31857	0.0	0.0	0.0	0.0	0.0	0.0
4040	8	548	548	1.96578	1.99201	2.08761	2.11722	2.21451	2.23904	2.32533	2.35410	0.0	0.0	0.0	0.0	0.0	0.0
4040	7	548	548	1.96240	1.99031	2.09607	2.13247	2.23926	2.27179	2.38424	2.41394	0.0	0.0	0.0	0.0	0.0	0.0

#Sys	Z	run1	run2	min1	max1	min2	max2	min3	max3	min4	max4	min5	max5	min6	max6	min7	max7
4048	20	455 	465  1.87  1.89   1.91  1.93   1.96  1.981   2.015 2.03    2.06  2.0797  2.11 2.133 
4048	19	455 	465  1.96  1.98   2.015 2.033  2.065 2.0805  2.115 2.136   0     0       0    0
4048	18	455 	465 1.91  1.929  1.96  1.98   2.017 2.035	2.78  2.088   0     0	    0	 0
4048	17	455 	465 1.96  1.98   2.019 2.039  2.084 2.094	2.13  2.15    0     0	    0	 0
4048	16	455 	465 1.966 1.981  2.026 2.04   2.084 2.104	2.148 2.161   0     0	    0	 0
4048	15	455 	465 1.968 1.981  2.026 2.04   2.094 2.107	0     0       0     0	    0	 0
4048	14	455 	465 1.946 1.964  2.015 2.032  2.090 2.107	0     0       0     0	    0	 0
4048	13	455 	465 2.021 2.037  2.110 2.126  0	0	0     0       0     0	    0	 0
4048	12	455 	465 1.94  1.963  2.027 2.0467 2.113 2.128	0     0       0     0	    0	 0
4048	11	455 	465 1.94  1.965  2.0278 2.051 0	0	0     0       0     0	    0	 0
4048	10	455 	465 1.94  1.965  2.038 2.059  0	0	0     0       0     0	    0	 0
4048	9	455 	465 1.94  1.962  2.048 2.073  0	0	0     0       0     0	    0	 0
4048	8	455 	465 1.91  1.96   0     0	  0	0	0     0       0     0	    0	 0 
4048	7	455 	465 2.051 2.107  0     0	  0	0	0     0       0     0	    0	 0 

4048	20	467 	474  1.927 1.943  1.956 1.99   2.018 2.041   2.066 2.089   2.118 2.136   0    0 
4048	19	467 	474  1.922 1.936  1.970 1.99   2.02  2.041   2.07  2.09    2.129 2.145   0    0 
4048	18	467 	474  1.918 1.934  1.967 1.989  2.021 2.043   2.073 2.097   2.129 2.153 2.1995 2.21578
4048	17	467 	474  1.969 1.988  2.019 2.0479 2.083 2.102   0     0       0     0       0    0 
4048	16	467 	474  1.91  1.929  1.964 1.9896 2.022 2.051   2.085 2.107   2.149 2.171   0    0 
4048	15	467 	474  1.967 1.991  2.027 2.052  2.092 2.1180  0     0       0     0       0    0  
4048	14	467 	474  1.964 1.986  2.031 2.058  0	 0	 0     0       0     0       0    0 
4048	13	467 	474  1.971 1.986  2.021 2.039  0	 0	 0     0       0     0       0    0  
4048	12	467 	474  1.965 1.985  2.041 2.062  0	 0	 0     0       0     0       0    0   
4048	11	467 	474  2.03  2.05   0     0	   0	 0	 0     0       0     0       0    0 

#Sys	Z	run1	run2	min1	max1	min2	max2	min3	max3	min4	max4	min5	max5	min6	max6	min7	max7
4848	21	383 	383	2.34 	2.36 	2.385 	2.409 	2.438 	2.457 	2.494 	2.508	0.0	0.0	0.0	0.0	0.0	0.0
4848	20	383 	383 	2.273 	2.289 	2.317 	2.334 	2.364 	2.384 	2.412 	2.431  	2.462 	2.484 	2.509 	2.541	0.0	0.0	
4848	19	383 	383 	2.285 	2.305 	2.334 	2.356 	2.386 	2.406 	2.435 	2.4596 	2.489 	2.511 	2.54  	2.565	0.0	0.0
4848	18	383 	383 	2.25  	2.269 	2.30  	2.325 	2.354 	2.375 	2.408 	2.43   	2.46  	2.483 	2.518 	2.537	0.0	0.0
4848	17	383 	383 	2.26  	2.284 	2.319 	2.341 	2.377 	2.40  	2.429 	2.461  	2.490	2.511 	2.55  	2.57	0.0	0.0
4848	16	383 	383 	2.22  	2.24  	2.28  	2.300 	2.340 	2.365 	2.40  	2.428  	2.455 	2.489 	2.523 	2.546	0.0	0.0
4848	15	383 	383 	2.25  	2.256 	2.300 	2.326 	2.365 	2.386 	2.433 	2.454  	2.491 	2.517 	2.56 	2.59	0.0	0.0
4848	14	383 	383 	2.18  	2.21  	2.254 	2.274 	2.317 	2.349 	2.395 	2.419  	2.448 	2.481	0.0	0.0	0.0	0.0 
4848	13	383 	383 	2.15  	2.22  	2.273 	2.30  	2.344 	2.377 	2.423 	2.45   	2.478 	2.517	0.0	0.0	0.0	0.0
4848	12	383 	383 	2.13  	2.15  	2.21  	2.240 	2.297 	2.326 	2.380 	2.416  	2.458 	2.497	0.0	0.0	0.0	0.0
4848	11	383 	383 	2.156 	2.176 	2.234 	2.264 	2.322 	2.357 	2.411 	2.445  	2.507 	2.539	0.0	0.0	0.0	0.0
4848	10	383 	383 	2.166 	2.193 	2.265 	2.293 	2.365 	2.392 	2.466 	2.493	0.0	0.0	0.0	0.0	0.0	0.0
4848	9	383 	383 	2.19  	2.215 	2.295 	2.324 	2.406 	2.437 	2.517 	2.550	0.0	0.0	0.0	0.0	0.0	0.0 
4848	8	383 	383 	2.087 	2.113 	2.203 	2.239 	2.34  	2.368 	2.465 	2.495 	2.59 	2.62	0.0	0.0	0.0	0.0
4848	7	383 	383 	2.249 	2.276 	2.394 	2.419 	2.527 	2.565 	2.668 	2.706	0.0	0.0	0.0	0.0	0.0	0.0  
4848	6	383 	383	2.289 	2.328 	2.464 	2.496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

4848	22	379 	397 	2.1588 2.1729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0 
4848	21	379 	397 	2.316 2.341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0 
4848	20	379 	397 	2.035 2.047 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0  

